num_closed_nodes,closed_demand,closed_asset,closed_project_load,closed_lane_exposure,closed_speed_exposure,closed_total_degree,first_hop_demand,first_hop_asset,first_hop_degree,second_hop_demand,second_hop_asset,second_hop_degree,first_hop_spatial,first_hop_diversion,route_concentration,closed_tb_degree_days_over_10c_yr,firsthop_tb_degree_days_over_10c_yr,closed_tb_coldest_air_temp,firsthop_tb_coldest_air_temp,closed_tb_high_temp_7days,firsthop_tb_high_temp_7days,closed_tb_max_avg_temp_high_7days,firsthop_tb_max_avg_temp_high_7days,closed_tb_max_temp_high_7days,firsthop_tb_max_temp_high_7days,closed_tb_min_surface_50_temp,firsthop_tb_min_surface_50_temp,closed_tb_min_surface_98_temp,firsthop_tb_min_surface_98_temp,closed_tb_stddev_high_temp_7days,firsthop_tb_stddev_high_temp_7days,closed_tb_stddev_coldest_air_temp,firsthop_tb_stddev_coldest_air_temp,closed_hu_rel_hum_avg_avg,firsthop_hu_rel_hum_avg_avg,closed_pr_precipitation,firsthop_pr_precipitation,closed_pr_evaporation,firsthop_pr_evaporation,closed_pr_pr_days,firsthop_pr_pr_days,closed_wi_wi_velocity_avg,firsthop_wi_wi_velocity_avg,closed_so_cloud_cover_avg,firsthop_so_cloud_cover_avg,closed_so_shortwave_surface_avg,firsthop_so_shortwave_surface_avg,closed_ty_temp_avg,firsthop_ty_temp_avg,closed_ty_temp_mean_avg,firsthop_ty_temp_mean_avg,closed_ty_freeze_index,firsthop_ty_freeze_index,closed_ty_freeze_thaw,firsthop_ty_freeze_thaw
-0.75676715,-0.82580644,-0.4689975,-0.7213553,-0.6259628,-0.7595731,-0.99397475,-0.77083457,-0.3424777,-0.9878546,-0.8079968,-0.39917114,-0.9797891,-1.201848,-0.28144112,-0.8983223,-0.22264987,-0.23660764,-0.4837109,-0.39338204,-0.06274751,-0.10598609,0.01360671,-0.047737814,0.017567724,-0.044173077,-0.56275904,-0.46861127,-0.4765923,-0.3856865,-0.1032796,-0.11043123,0.24834572,0.1898097,0.4012953,0.28335932,0.67471206,0.51634526,0.38181552,0.28042603,0.136796,0.051996674,-0.95482814,-0.9126559,1.8000374,1.5595008,-0.056775074,-0.11825784,-0.3404342,-0.33063814,-0.34815302,-0.33906198,1.0472274,0.7805657,0.36320084,0.27685815
-0.08745662,0.01978761,-0.70352554,0.88713723,-0.6259628,-0.10129503,-0.1940033,0.038958203,-0.6662164,-0.35729113,0.046695784,-0.6769414,-0.25833154,-0.023060057,-0.90257746,0.1204404,-1.0954658,-1.0259535,0.99704146,0.9345304,-1.1474179,-1.0733005,-1.1554929,-1.0787314,-1.1564822,-1.0796933,0.9297643,0.8740254,1.0035332,0.9426194,-1.1148585,-1.0491236,-1.0865331,-1.0240067,-1.1310881,-1.050358,-1.0138439,-0.93972707,-1.0342968,-0.94911325,-1.1619,-1.083139,-0.95482814,-0.91476303,-0.6143283,-0.5605838,-1.1433648,-1.066899,-1.0226729,-0.9538616,-1.0235469,-0.95498574,-0.6147293,-0.58316076,-0.89953125,-0.8407551
-0.75676715,-0.8916184,-0.5672174,-0.7213553,-0.99767464,-0.7595731,-1.4247286,-0.86530924,-0.49837968,-1.4804039,-0.86207384,-0.48969197,-1.4832919,-1.4958528,-0.8502809,-1.2379098,0.130272,-0.124181755,-0.46773967,-0.15830986,0.17948164,-0.09623258,0.15135084,-0.11864321,0.15995243,-0.11209979,-0.49244747,-0.19089328,-0.44499677,-0.13833955,0.72766036,0.3415083,0.398607,0.07047083,0.2127265,-0.06656876,0.20388897,-0.045212045,0.28481856,0.011553108,0.136796,-0.13014801,0.687127,0.3446607,-0.585924,-0.56742406,0.07886844,-0.17154539,0.019396357,-0.19162029,0.020499473,-0.19336529,0.15730877,-0.0038964178,0.4334275,0.14859392
-1.4260777,-0.75781345,-0.36752263,-0.8822046,-0.99767464,-1.4178512,-1.1785835,-0.7389046,-0.28978682,-1.1551886,-0.7275382,-0.26448968,-1.1218783,-1.3206884,-0.3195849,-1.2379098,-0.63200086,-0.5776095,0.036491837,-0.037296504,-0.57955146,-0.51740193,-0.5596408,-0.49537924,-0.5525959,-0.48795977,-0.045010056,-0.11707818,0.04351751,-0.030569265,-0.23136911,-0.1554965,-0.15875737,-0.08212352,-0.39081934,-0.32013476,-0.3201308,-0.25335416,-0.37794217,-0.31126285,-0.512552,-0.44532138,-0.18343984,-0.11865799,0.15258788,0.22267804,-0.58365303,-0.5209023,-0.6801142,-0.6329117,-0.68585,-0.63898224,0.33797726,0.39348546,-0.26958767,-0.2112498
1.2511644,0.7608546,1.8989861,0.726288,2.7194438,1.2152611,1.7136209,1.0606565,2.679847,1.6334814,1.0037744,2.5561047,1.5799009,1.0666974,2.2281048,0.7996155,3.8273528,3.3431637,0.3011563,0.33854532,2.9248657,2.5215652,2.5726194,2.2061868,2.5259545,2.1648784,0.65810585,0.65266776,0.18934268,0.23941006,1.0528108,0.8692745,0.389871,0.2737083,0.43056315,0.30711788,-0.3805445,-0.4090143,-0.15612273,-0.20825957,2.08484,1.7707276,1.5797335,1.364255,-0.6143283,-0.5941895,2.657259,2.273871,3.9477863,3.464866,3.9246511,3.4436872,-0.6147293,-0.59562415,-0.7580298,-0.7317446
-0.75676715,-0.91629004,-0.6040381,-0.8822046,-0.2542509,-0.7595731,-0.5632209,-0.9166651,-0.58312696,-0.5005497,-0.9139157,-0.5764711,-0.46648633,-0.7110212,0.22637908,-0.8983223,0.34061155,0.32953995,0.04789979,0.043514498,0.27906263,0.26852235,0.22528951,0.21696989,0.22927138,0.22091548,0.11798501,0.11116599,0.0799738,0.07443114,0.744082,0.7272178,0.0037343886,0.0073292297,0.20018308,0.19743071,0.19512719,0.19784948,0.4848683,0.4784534,0.136796,0.13212413,0.6430477,0.63188803,-0.6143283,-0.59461844,0.16204189,0.1541156,0.39937744,0.38851693,0.38915205,0.3784013,-0.45358402,-0.4400571,-0.047827184,-0.045264963
1.920475,1.8164544,2.6937346,2.013082,1.9760202,1.8735392,0.42135936,0.5911226,1.3678489,-0.12572576,0.81908405,1.7688962,-0.10285478,-0.1975404,-0.1164872,1.4787906,1.3987206,1.2142967,-0.9810976,-1.0554372,1.3497406,1.2160534,1.4168826,1.2840325,1.4182051,1.2874315,-0.7992616,-0.9149744,-0.92865026,-1.0080535,1.3615394,1.316245,1.024113,1.0696098,1.5258095,1.3738573,1.171153,1.0124774,1.6967205,1.4360161,1.435492,1.3199538,1.6954417,2.0322964,0.55024815,0.4353417,1.4271553,1.3071246,1.5345229,1.2969074,1.5513923,1.306547,0.9205114,1.0488038,0.8562847,0.94858855
-1.4260777,-0.21233095,0.44657296,-1.3647524,-0.6259628,-1.4178512,-1.4247286,-0.2432228,0.5281867,-1.4936224,-0.21021219,0.60147375,-1.4417621,-1.6512178,-0.6608234,-1.2379098,-0.5056249,-0.59465957,0.39470154,0.4851794,-0.5313963,-0.6219833,-0.52200335,-0.6151437,-0.5200181,-0.6137175,0.36727154,0.45213285,0.38620666,0.47997648,-0.39230213,-0.5062549,-0.3247436,-0.44633853,-0.39813635,-0.5122404,-0.13159788,-0.27956125,-0.2255426,-0.35652807,-0.512552,-0.60787946,-0.44791582,-0.52538186,-0.07464654,-0.15868843,-0.5523513,-0.6362094,-0.44694406,-0.5351027,-0.4569665,-0.54333824,-0.40792522,-0.43289095,-0.33322594,-0.41683355
1.920475,1.071081,2.3619778,1.6913836,2.7194438,1.8735392,1.2828671,1.4712774,3.3508084,0.99926984,1.4920803,3.4385448,1.1646348,0.79184216,0.7400413,0.7996155,2.197415,2.676829,-2.9843342,-3.5968394,2.5974114,3.12079,2.6235082,3.1461625,2.6368024,3.163468,-3.0012932,-3.6121805,-3.0649889,-3.6845012,2.91832,3.6240857,3.164462,3.7911277,2.7885108,3.372404,2.6159039,3.175253,2.473716,3.0181348,2.7341878,3.2675223,1.3868865,1.8856993,1.6012075,2.002182,2.5019155,2.98185,1.7245133,2.1213944,1.7352496,2.1320856,2.0119042,2.4721553,3.1830482,3.6802177
-0.08745662,1.4682198,-0.55312914,-0.39965683,-0.2542509,-0.10129503,-0.070930764,1.1482124,-0.4810392,0.006822417,1.2732114,-0.45851392,0.0011520769,0.14853771,-0.12585,0.1204404,-0.3355671,0.03264164,0.7415033,0.6291549,-0.4854219,-0.13763453,-0.48180473,-0.14808074,-0.48442194,-0.15247877,0.7827491,0.7021396,0.7629217,0.6386594,-0.5006856,-0.23397,-0.7248578,-0.5488464,-0.39123747,-0.10282964,-0.24945505,0.019649448,-0.12820269,0.12973228,-0.512552,-0.19987707,-0.70137197,-0.5012672,-0.017837904,0.09973335,-0.5057187,-0.18188536,-0.12261679,0.2553145,-0.12489786,0.2560077,-0.6135892,-0.5943139,-0.8230157,-0.760944
