source,target,edge_type,distance_km,diversion_potential,same_state,same_route_key,edge_weight,weight_deterioration,weight_disruption
1_0107,1_1001,spatial,17.722272986787758,0.34500157144356347,True,False,,,
1_0108,1_1001,spatial,17.94366553011456,0.38577327671050055,True,False,,,
1_0109,1_1001,spatial,18.128443954414244,0.38497014078278896,True,False,,,
1_0163,1_1001,spatial,18.355091508718722,0.38355862213334235,True,False,,,
1_0110,1_1001,spatial,18.677115025761243,0.38121167781072846,True,False,,,
1_0111,1_1001,spatial,18.928426476552254,0.3792119410173148,True,False,,,
1_0112,1_1001,spatial,19.203507907810817,0.37828181512967385,True,False,,,
1_0106,1_1001,spatial,20.28343264790339,0.3716504609348575,True,False,,,
1_0101,1_0105,spatial,0.25345361961367524,0.8050772249687143,True,True,,,
1_0101,1_0103,spatial,0.4669736744188823,0.8426235759290597,True,True,,,
1_0101,1_0162,spatial,0.6743283139562526,0.841970689547635,True,True,,,
1_0101,1_0104,spatial,1.1072517813735288,0.8340059755994637,True,True,,,
1_0101,1_0106,spatial,1.1980780151828225,0.8328530779471922,True,True,,,
1_0101,1_0102,spatial,1.5675858283955681,0.7918104697309182,True,True,,,
1_0101,1_0161,spatial,1.8310426215372444,0.8305451721461667,True,True,,,
1_0101,1_0112,spatial,2.2974788620735103,0.821428170503052,True,True,,,
1_1011,28_3019,spatial,32.23643981289756,0.0,False,False,,,
1_1011,28_3018,spatial,35.4448891664586,0.0,False,False,,,
1_1011,1_4127,spatial,42.76284909326402,0.0,True,False,,,
1_1019,1_B310,spatial,0.4184417131909111,0.46513645626493044,True,True,,,
1_1019,1_B340,spatial,0.5762831481433264,0.4638245471836255,True,True,,,
1_1019,1_B320,spatial,0.7142577728325538,0.46260526771874055,True,True,,,
1_1019,1_B330,spatial,0.928055551089802,0.46176811821558583,True,True,,,
1_1019,1_B350,spatial,1.2250181799040911,0.2518372856072123,True,True,,,
1_1019,1_6019,spatial,51.32279728453867,0.0,True,False,,,
1_0102,1_0161,spatial,0.28486911836490575,0.8047600713902381,True,True,,,
1_0102,1_0105,spatial,1.8054101519443497,0.8308175171355913,True,True,,,
1_0102,1_0103,spatial,2.012912599733924,0.7850648215410644,True,True,,,
1_0102,1_0162,spatial,2.221224867184774,0.7860179793870349,True,True,,,
1_0102,1_0104,spatial,2.6567709326341618,0.7847743829888901,True,True,,,
1_0102,1_0106,spatial,2.747828650051735,0.7840318505501452,True,True,,,
1_0102,1_0112,spatial,3.8488414330360006,0.772674586273077,True,True,,,
1_1021,1_4125,spatial,14.977445896169415,0.0,True,False,,,
1_1021,1_A310,spatial,15.097594349606565,0.0,True,False,,,
1_1021,1_A320,spatial,15.326490320898428,0.0,True,False,,,
1_1021,1_A330,spatial,15.347817055192543,0.0,True,False,,,
1_1021,1_A340,spatial,15.371129666786535,0.0,True,False,,,
1_1021,1_A350,spatial,15.380455321302643,0.0,True,False,,,
1_1021,1_4129,spatial,55.92224635988448,0.0,True,False,,,
1_0103,1_0162,spatial,0.2093250102561925,0.8444861150398196,True,True,,,
1_0103,1_0105,spatial,0.2138084515925978,0.8031756835321681,True,True,,,
1_0103,1_0104,spatial,0.6452810558322932,0.8364923903575627,True,True,,,
1_0103,1_0106,spatial,0.7364413378655261,0.8353381401570215,True,True,,,
1_0103,1_0112,spatial,1.8380722913045677,0.8239235258984526,True,True,,,
1_0103,1_0111,spatial,2.1196908735502187,0.8226466938197359,True,True,,,
1_0104,1_0106,spatial,0.09116339309437525,0.8488349522850184,True,True,,,
1_0104,1_0162,spatial,0.4360695627532013,0.8419649836983887,True,True,,,
1_0104,1_0105,spatial,0.8571867130598106,0.8030341274110284,True,True,,,
1_0104,1_0112,spatial,1.1928362660643823,0.837321477581222,True,True,,,
1_0104,1_0111,spatial,1.4744471808759405,0.8326135761110915,True,True,,,
1_0104,1_0110,spatial,1.7315425800880266,0.8308449473635366,True,True,,,
1_0105,1_0162,spatial,0.4222816702361444,0.8041977680798121,True,True,,,
1_0105,1_0106,spatial,0.9482587326362796,0.8022956754742916,True,True,,,
1_0105,1_0112,spatial,2.0493241885783093,0.7909335500041398,True,True,,,
1_0105,1_0161,spatial,2.062801628385086,0.7868110436728353,True,True,,,
1_0106,1_0162,spatial,0.5272323008081036,0.8408056987535605,True,True,,,
1_0106,1_0112,spatial,1.1016745559087882,0.83809611389708,True,True,,,
1_0106,1_0111,spatial,1.3832845954147797,0.8333873195079661,True,True,,,
1_0106,1_0110,spatial,1.640379927204201,0.831620215515516,True,True,,,
1_0107,1_0108,spatial,0.22716407619037912,0.6175511085876787,True,True,,,
1_0107,1_0109,spatial,0.4161883577642061,0.6166412829855514,True,True,,,
1_0107,1_0163,spatial,0.6477018053510564,0.6148453605908888,True,True,,,
1_0107,1_0110,spatial,0.9773011217865523,0.6117406347543073,True,True,,,
1_0107,1_0111,spatial,1.2343942766518516,0.6090477809552995,True,True,,,
1_0107,1_0112,spatial,1.5160028747157968,0.6081208717188603,True,True,,,
1_0106,1_0107,spatial,2.617676827587112,0.5997268015323558,True,True,,,
1_0104,1_0107,spatial,2.708838875391283,0.598881686717024,True,True,,,
1_0108,1_0109,spatial,0.1890303747477745,0.8472304167097789,True,True,,,
1_0108,1_0163,spatial,0.42055091053655,0.8447755779394173,True,True,,,
1_0108,1_0110,spatial,0.7501437503595583,0.8420250637334452,True,True,,,
1_0108,1_0111,spatial,1.0072347668606068,0.8383263744552361,True,True,,,
1_0108,1_0112,spatial,1.2888407540973303,0.8355536205261656,True,True,,,
1_0106,1_0108,spatial,2.3905151642500613,0.8236636874135304,True,True,,,
1_0104,1_0108,spatial,2.4816770055291544,0.822886581229679,True,True,,,
1_0109,1_0163,spatial,0.2315216099396671,0.847537214564604,True,True,,,
1_0109,1_0110,spatial,0.5611139319820541,0.8432759115341586,True,True,,,
1_0109,1_0111,spatial,0.8182061155463813,0.8395782175062213,True,True,,,
1_0109,1_0112,spatial,1.0998148705110233,0.8383126615626415,True,True,,,
1_0106,1_0109,spatial,2.2014885397444393,0.8264115788389416,True,True,,,
1_0104,1_0109,spatial,2.292650644229007,0.825634236394198,True,True,,,
1_0110,1_0111,spatial,0.25709551825622234,0.8462920583829874,True,True,,,
1_0110,1_0163,spatial,0.3296029650716166,0.8457363563279648,True,True,,,
1_0110,1_0112,spatial,0.5387133605312174,0.8435118860264296,True,True,,,
1_0111,1_0112,spatial,0.28162061372112246,0.845265905717046,True,True,,,
1_0111,1_0163,spatial,0.5866984127776392,0.8420357833097593,True,True,,,
1_0112,1_0163,spatial,0.8683143948237703,0.8407695033937497,True,True,,,
1_0103,1_0161,spatial,2.2667159497216307,0.8235559590932782,True,True,,,
1_0161,1_0162,spatial,2.4734696029217775,0.8228744222300469,True,True,,,
1_0104,1_0161,spatial,2.907294475567621,0.814977023038047,True,True,,,
1_0106,1_0161,spatial,2.998035707462526,0.8138294264113995,True,True,,,
1_0112,1_0161,spatial,4.096557636413041,0.8024093025878991,True,True,,,
1_0112,1_0162,spatial,1.6289053829030158,0.8293466960269087,True,True,,,
1_0111,1_0162,spatial,1.9105167422292049,0.8280695278601486,True,True,,,
1_0110,1_0162,spatial,2.1676121322965414,0.8243922222865698,True,True,,,
1_0106,1_0163,spatial,1.9699828903779484,0.828867933200295,True,True,,,
1_0104,1_0163,spatial,2.0611455437647046,0.828091156648968,True,True,,,
1_3028,1_4007,spatial,4.682669356905787,0.39314841715306104,True,True,,,
1_3028,1_4084,spatial,30.731814507763833,0.13086861771375233,True,True,,,
1_3028,1_4126,spatial,68.07097470233609,0.0,True,False,,,
1_3028,1_4129,spatial,77.4093809751177,0.0,True,False,,,
1_3998,28_3091,spatial,44.30252980032033,0.0,False,False,,,
1_3998,1_6012,spatial,63.35300118586405,0.074375,True,True,,,
1_4007,1_4084,spatial,26.103761354224623,0.22923726584836576,True,True,,,
1_4007,1_4126,spatial,69.73768243126501,0.0,True,False,,,
1_4007,1_4129,spatial,77.46655342289844,0.0,True,False,,,
1_4073,47_1029,spatial,42.01241330569166,0.1058872772484775,False,False,,,
1_0601,1_4073,spatial,64.31999035769309,0.0,True,False,,,
1_0602,1_4073,spatial,64.4987286525966,0.0,True,False,,,
1_0605,1_4073,spatial,64.75663676733272,0.0,True,False,,,
1_0607,1_4073,spatial,65.28951917380445,0.0,True,False,,,
1_0608,1_4073,spatial,65.62973738708547,0.0,True,False,,,
1_0663,1_4073,spatial,65.81901500079154,0.0,True,False,,,
1_0662,1_4073,spatial,66.0619627289179,0.0,True,False,,,
1_4084,1_6012,spatial,76.27398976588103,0.0,True,False,,,
1_4084,1_4126,spatial,79.83086079446164,0.0,True,False,,,
1_4125,1_A310,spatial,0.48544398279175677,0.7266000318117193,True,True,,,
1_4125,1_A320,spatial,1.301574169584996,0.719829981851242,True,True,,,
1_4125,1_A330,spatial,1.3549511131362233,0.7190873913822801,True,True,,,
1_4125,1_A340,spatial,1.4253441097902737,0.7191209498461538,True,True,,,
1_4125,1_A350,spatial,1.4743673632627343,0.7182494963439829,True,True,,,
1_4125,1_4129,spatial,70.73971267466916,0.0,True,False,,,
1_4127,28_3019,spatial,70.9570456997205,0.074375,False,True,,,
1_4127,28_3018,spatial,75.10225607032221,0.074375,False,True,,,
1_4129,1_A310,spatial,70.79198479457362,0.0,True,False,,,
1_4129,1_A320,spatial,70.8813695658772,0.0,True,False,,,
1_4129,1_A330,spatial,70.89272526627343,0.0,True,False,,,
1_4129,1_A350,spatial,70.90188652349205,0.0,True,False,,,
1_4129,1_A340,spatial,70.90247299310985,0.0,True,False,,,
1_4155,1_C310,spatial,0.30556471565364696,0.8024116451167259,True,True,,,
