source_node,target_node,conflict_count,total_overlap_days,max_overlap_days,edge_type
4_0113,4_0163,1,0,0,node_project_conflict
4_0113,4_0903,1,0,0,node_project_conflict
4_0113,4_A901,1,0,0,node_project_conflict
4_0113,4_A903,1,0,0,node_project_conflict
4_0114,4_0115,1,0,0,node_project_conflict
4_0114,4_0116,1,0,0,node_project_conflict
4_0114,4_0117,1,0,0,node_project_conflict
4_0114,4_0118,1,0,0,node_project_conflict
4_0114,4_0119,1,0,0,node_project_conflict
4_0114,4_0120,1,0,0,node_project_conflict
4_0114,4_0121,1,0,0,node_project_conflict
4_0114,4_0122,1,0,0,node_project_conflict
4_0114,4_0123,1,0,0,node_project_conflict
4_0114,4_0124,1,0,0,node_project_conflict
4_0114,4_0160,1,0,0,node_project_conflict
4_0114,4_0902,1,0,0,node_project_conflict
4_0114,4_A902,1,0,0,node_project_conflict
4_0115,4_0117,1,0,0,node_project_conflict
4_0115,4_0119,1,0,0,node_project_conflict
4_0115,4_0123,1,0,0,node_project_conflict
4_0115,4_0124,1,0,0,node_project_conflict
4_0115,4_0160,1,0,0,node_project_conflict
4_0115,4_0902,1,0,0,node_project_conflict
4_0115,4_A902,1,0,0,node_project_conflict
4_0116,4_0118,1,0,0,node_project_conflict
4_0116,4_0119,1,0,0,node_project_conflict
4_0116,4_0120,1,0,0,node_project_conflict
4_0116,4_0121,1,0,0,node_project_conflict
4_0116,4_0122,1,0,0,node_project_conflict
4_0116,4_0123,1,0,0,node_project_conflict
4_0116,4_0124,1,0,0,node_project_conflict
4_0117,4_0119,1,0,0,node_project_conflict
4_0117,4_0123,1,0,0,node_project_conflict
4_0117,4_0124,1,0,0,node_project_conflict
4_0117,4_0160,1,0,0,node_project_conflict
4_0117,4_0902,1,0,0,node_project_conflict
4_0117,4_A902,1,0,0,node_project_conflict
4_0118,4_0119,1,0,0,node_project_conflict
4_0118,4_0120,1,0,0,node_project_conflict
4_0118,4_0121,1,0,0,node_project_conflict
4_0118,4_0122,1,0,0,node_project_conflict
4_0118,4_0123,1,0,0,node_project_conflict
4_0118,4_0161,1,0,0,node_project_conflict
4_0118,4_0162,1,0,0,node_project_conflict
4_0118,4_0163,1,0,0,node_project_conflict
4_0118,4_A901,1,0,0,node_project_conflict
4_0119,4_0122,1,0,0,node_project_conflict
4_0119,4_0123,1,0,0,node_project_conflict
4_0119,4_0124,1,0,0,node_project_conflict
4_0119,4_0160,1,0,0,node_project_conflict
4_0119,4_0902,1,0,0,node_project_conflict
4_0119,4_A902,1,0,0,node_project_conflict
4_0120,4_0121,1,0,0,node_project_conflict
4_0120,4_0122,1,0,0,node_project_conflict
4_0120,4_0161,1,0,0,node_project_conflict
4_0120,4_0162,1,0,0,node_project_conflict
4_0120,4_0163,1,0,0,node_project_conflict
4_0120,4_0903,1,0,0,node_project_conflict
4_0120,4_A901,1,0,0,node_project_conflict
4_0120,4_A903,1,0,0,node_project_conflict
4_0121,4_0122,1,0,0,node_project_conflict
4_0121,4_0161,1,0,0,node_project_conflict
4_0121,4_0162,1,0,0,node_project_conflict
4_0121,4_0163,1,0,0,node_project_conflict
4_0121,4_0903,1,0,0,node_project_conflict
4_0121,4_A901,1,0,0,node_project_conflict
4_0121,4_A903,1,0,0,node_project_conflict
4_0122,4_0161,1,0,0,node_project_conflict
4_0122,4_0162,1,0,0,node_project_conflict
4_0122,4_0163,1,0,0,node_project_conflict
4_0122,4_A901,1,0,0,node_project_conflict
4_0123,4_0124,1,0,0,node_project_conflict
4_0123,4_0160,1,0,0,node_project_conflict
4_0123,4_0902,1,0,0,node_project_conflict
4_0123,4_A902,1,0,0,node_project_conflict
4_0124,4_0160,1,0,0,node_project_conflict
4_0124,4_0902,1,0,0,node_project_conflict
4_0124,4_A902,1,0,0,node_project_conflict
4_0160,4_0902,1,0,0,node_project_conflict
4_0160,4_A902,1,0,0,node_project_conflict
4_0161,4_0162,1,0,0,node_project_conflict
4_0161,4_0163,1,0,0,node_project_conflict
4_0161,4_0903,1,0,0,node_project_conflict
4_0161,4_A901,1,0,0,node_project_conflict
4_0161,4_A903,1,0,0,node_project_conflict
4_0162,4_0163,1,0,0,node_project_conflict
4_0162,4_0903,1,0,0,node_project_conflict
4_0162,4_A901,1,0,0,node_project_conflict
4_0162,4_A903,1,0,0,node_project_conflict
4_0163,4_0903,1,0,0,node_project_conflict
4_0163,4_A901,1,0,0,node_project_conflict
4_0163,4_A903,1,0,0,node_project_conflict
4_0213,4_0217,1,0,0,node_project_conflict
4_0213,4_0219,1,0,0,node_project_conflict
4_0213,4_0221,1,0,0,node_project_conflict
4_0213,4_0223,1,0,0,node_project_conflict
4_0213,4_0260,1,0,0,node_project_conflict
4_0213,4_0262,1,0,0,node_project_conflict
4_0213,4_0263,1,0,0,node_project_conflict
4_0213,4_0264,1,0,0,node_project_conflict
4_0213,4_0265,1,0,0,node_project_conflict
4_0213,4_0266,1,0,0,node_project_conflict
4_0213,4_0267,1,0,0,node_project_conflict
4_0213,4_0268,1,0,0,node_project_conflict
4_0214,4_0215,1,0,0,node_project_conflict
4_0214,4_0216,1,0,0,node_project_conflict
4_0214,4_0218,1,0,0,node_project_conflict
4_0214,4_0220,1,0,0,node_project_conflict
4_0214,4_0222,1,0,0,node_project_conflict
4_0214,4_0223,1,0,0,node_project_conflict
4_0214,4_0224,1,0,0,node_project_conflict
4_0214,4_0261,1,0,0,node_project_conflict
4_0215,4_0216,1,0,0,node_project_conflict
4_0215,4_0217,1,0,0,node_project_conflict
4_0215,4_0218,1,0,0,node_project_conflict
4_0215,4_0219,1,0,0,node_project_conflict
4_0215,4_0220,1,0,0,node_project_conflict
4_0215,4_0221,1,0,0,node_project_conflict
4_0215,4_0222,1,0,0,node_project_conflict
4_0215,4_0223,1,0,0,node_project_conflict
4_0215,4_0224,1,0,0,node_project_conflict
4_0215,4_0261,1,0,0,node_project_conflict
4_0216,4_0217,1,0,0,node_project_conflict
4_0216,4_0218,1,0,0,node_project_conflict
4_0216,4_0219,1,0,0,node_project_conflict
4_0216,4_0220,1,0,0,node_project_conflict
4_0216,4_0222,1,0,0,node_project_conflict
4_0216,4_0223,1,0,0,node_project_conflict
4_0216,4_0224,1,0,0,node_project_conflict
4_0216,4_0261,1,0,0,node_project_conflict
4_0217,4_0219,1,0,0,node_project_conflict
4_0217,4_0221,1,0,0,node_project_conflict
4_0217,4_0223,1,0,0,node_project_conflict
4_0217,4_0262,1,0,0,node_project_conflict
4_0217,4_0263,1,0,0,node_project_conflict
4_0218,4_0220,1,0,0,node_project_conflict
4_0218,4_0222,1,0,0,node_project_conflict
4_0218,4_0223,1,0,0,node_project_conflict
4_0218,4_0224,1,0,0,node_project_conflict
4_0218,4_0261,1,0,0,node_project_conflict
4_0219,4_0221,1,0,0,node_project_conflict
4_0219,4_0223,1,0,0,node_project_conflict
4_0219,4_0224,1,0,0,node_project_conflict
4_0219,4_0262,1,0,0,node_project_conflict
4_0220,4_0222,1,0,0,node_project_conflict
4_0220,4_0223,1,0,0,node_project_conflict
4_0220,4_0224,1,0,0,node_project_conflict
4_0220,4_0261,1,0,0,node_project_conflict
4_0221,4_0223,1,0,0,node_project_conflict
4_0221,4_0262,1,0,0,node_project_conflict
4_0221,4_0263,1,0,0,node_project_conflict
4_0221,4_0264,1,0,0,node_project_conflict
4_0222,4_0223,1,0,0,node_project_conflict
4_0222,4_0224,1,0,0,node_project_conflict
4_0222,4_0261,1,0,0,node_project_conflict
4_0223,4_0224,1,0,0,node_project_conflict
4_0223,4_0261,1,0,0,node_project_conflict
4_0224,4_0261,1,0,0,node_project_conflict
4_0260,4_0262,1,0,0,node_project_conflict
4_0260,4_0263,1,0,0,node_project_conflict
4_0260,4_0264,1,0,0,node_project_conflict
4_0260,4_0265,1,0,0,node_project_conflict
4_0260,4_0266,1,0,0,node_project_conflict
4_0260,4_0267,1,0,0,node_project_conflict
4_0260,4_0268,1,0,0,node_project_conflict
4_0262,4_0263,1,0,0,node_project_conflict
4_0262,4_0264,1,0,0,node_project_conflict
4_0262,4_0265,1,0,0,node_project_conflict
4_0262,4_0266,1,0,0,node_project_conflict
4_0262,4_0267,1,0,0,node_project_conflict
4_0262,4_0268,1,0,0,node_project_conflict
4_0263,4_0264,1,0,0,node_project_conflict
4_0263,4_0265,1,0,0,node_project_conflict
4_0263,4_0266,1,0,0,node_project_conflict
4_0263,4_0267,1,0,0,node_project_conflict
4_0263,4_0268,1,0,0,node_project_conflict
4_0264,4_0265,1,0,0,node_project_conflict
4_0264,4_0266,1,0,0,node_project_conflict
4_0264,4_0267,1,0,0,node_project_conflict
4_0264,4_0268,1,0,0,node_project_conflict
4_0265,4_0266,1,0,0,node_project_conflict
4_0265,4_0267,1,0,0,node_project_conflict
4_0265,4_0268,1,0,0,node_project_conflict
4_0266,4_0267,1,0,0,node_project_conflict
4_0266,4_0268,1,0,0,node_project_conflict
4_0267,4_0268,1,0,0,node_project_conflict
4_0902,4_A902,1,0,0,node_project_conflict
4_0903,4_A901,1,0,0,node_project_conflict
4_0903,4_A903,1,0,0,node_project_conflict
4_A901,4_A902,1,0,0,node_project_conflict
4_A901,4_A903,1,0,0,node_project_conflict
4_A902,4_A903,1,0,0,node_project_conflict
4_AA01,4_AA02,1,0,0,node_project_conflict
4_AA01,4_AA03,1,0,0,node_project_conflict
4_AA01,4_AA59,1,0,0,node_project_conflict
4_AA01,4_AA60,1,0,0,node_project_conflict
4_AA01,4_AA61,1,0,0,node_project_conflict
4_AA02,4_AA03,1,0,0,node_project_conflict
4_AA02,4_AA59,1,0,0,node_project_conflict
4_AA02,4_AA60,1,0,0,node_project_conflict
4_AA02,4_AA61,1,0,0,node_project_conflict
4_AA03,4_AA59,1,0,0,node_project_conflict
4_AA03,4_AA60,1,0,0,node_project_conflict
4_AA03,4_AA61,1,0,0,node_project_conflict
4_AA59,4_AA60,1,0,0,node_project_conflict
4_AA59,4_AA61,1,0,0,node_project_conflict
4_AA60,4_AA61,1,0,0,node_project_conflict
4_BA01,4_BA02,1,0,0,node_project_conflict
4_BA01,4_BA03,1,0,0,node_project_conflict
4_BA01,4_BA59,1,0,0,node_project_conflict
4_BA01,4_BA60,1,0,0,node_project_conflict
4_BA01,4_BA61,1,0,0,node_project_conflict
4_BA02,4_BA03,1,0,0,node_project_conflict
4_BA02,4_BA59,1,0,0,node_project_conflict
4_BA02,4_BA60,1,0,0,node_project_conflict
4_BA02,4_BA61,1,0,0,node_project_conflict
4_BA03,4_BA59,1,0,0,node_project_conflict
4_BA03,4_BA60,1,0,0,node_project_conflict
4_BA03,4_BA61,1,0,0,node_project_conflict
4_BA59,4_BA60,1,0,0,node_project_conflict
4_BA59,4_BA61,1,0,0,node_project_conflict
4_BA60,4_BA61,1,0,0,node_project_conflict
51_0113,51_0115,1,243,243,node_project_conflict
