source,target,edge_type,distance_km,component_rank,distance_bin,topology_level,osm_path_km,detour_ratio,osm_connected,osm_supported,same_osm_edge,src_osm_edge,dst_osm_edge,src_snap_m,dst_snap_m,topology_status,component_size
55_0221,55_0264,spatial,0.4655404365712969,11,0-1 km,supported,0.060399354681491164,0.12974029737638287,1,1,0,"(147176244, 147136449, 0)","(3866280274, 147138564, 0)",5.215493795457644,0.6405132863732417,short_connected,39
55_0221,55_0259,spatial,0.60647126856502,11,0-1 km,supported,0.8647492522017418,1.4258701063412895,1,1,0,"(147176244, 147136449, 0)","(147136295, 3866280275, 0)",5.215493795457644,4.407643854435109,short_connected,39
55_0221,55_0265,spatial,0.6797778047114703,11,0-1 km,supported,0.060399354681491164,0.08885161336964728,1,1,0,"(147176244, 147136449, 0)","(3866280274, 147138564, 0)",5.215493795457644,3.8124404800320093,short_connected,39
55_0221,55_0260,spatial,0.8223699785422738,11,0-1 km,supported,0.8647492522017418,1.051533099170995,1,1,0,"(147176244, 147136449, 0)","(147136295, 3866280275, 0)",5.215493795457644,4.799598442800104,short_connected,39
55_0222,55_0223,spatial,0.2148470833140544,11,0-1 km,supported,0.0,0.0,1,1,1,"(147136449, 147101059, 0)","(147136449, 147101059, 0)",2.234872877628502,3.0204964867742743,same_osm_edge,39
55_0222,55_0261,spatial,0.4250128487290611,11,0-1 km,supported,0.0,0.0,1,1,1,"(147136449, 147101059, 0)","(147136449, 147101059, 0)",2.234872877628502,2.3250102072154912,same_osm_edge,39
55_0222,55_0262,spatial,0.5409209377697178,11,0-1 km,supported,0.0,0.0,1,1,0,"(147136449, 147101059, 0)","(147101059, 147128637, 0)",2.234872877628502,4.174346750641201,short_connected,39
55_0222,55_0266,spatial,1.2489300723959622,11,1-5 km,supported,0.029439068973530207,0.023571430958543537,1,1,0,"(147136449, 147101059, 0)","(147171663, 3866280278, 0)",2.234872877628502,4.600812461854007,short_connected,39
55_0223,55_0261,spatial,0.2107157230129481,11,0-1 km,supported,0.0,0.0,1,1,1,"(147136449, 147101059, 0)","(147136449, 147101059, 0)",3.0204964867742743,2.3250102072154912,same_osm_edge,39
55_0223,55_0262,spatial,0.7544166704804901,11,0-1 km,supported,0.0,0.0,1,1,0,"(147136449, 147101059, 0)","(147101059, 147128637, 0)",3.0204964867742743,4.174346750641201,short_connected,39
55_0223,55_0266,spatial,1.0411092771448651,11,1-5 km,supported,0.029439068973530207,0.028276636871648886,1,1,0,"(147136449, 147101059, 0)","(147171663, 3866280278, 0)",3.0204964867742743,4.600812461854007,short_connected,39
55_0224,55_0263,spatial,0.6247188989676457,11,0-1 km,supported,0.8647492522017418,1.384221373214015,1,1,0,"(147176244, 147136449, 0)","(147136295, 3866280275, 0)",5.0072865022319135,5.337134518043058,short_connected,39
55_0224,55_0264,spatial,0.6835934411568038,11,0-1 km,supported,0.060399354681491164,0.08835566733829539,1,1,0,"(147176244, 147136449, 0)","(3866280274, 147138564, 0)",5.0072865022319135,0.6405132863732417,short_connected,39
55_0224,55_0266,spatial,0.817361249046053,11,0-1 km,supported,0.028322520824981275,0.03465116661456198,1,1,0,"(147176244, 147136449, 0)","(147171663, 3866280278, 0)",5.0072865022319135,4.600812461854007,short_connected,39
55_0224,55_0259,spatial,0.8176257327296731,11,0-1 km,supported,0.8647492522017418,1.0576345846096906,1,1,0,"(147176244, 147136449, 0)","(147136295, 3866280275, 0)",5.0072865022319135,4.407643854435109,short_connected,39
