source,target,edge_type,distance_km,component_rank,distance_bin,topology_level,osm_path_km,detour_ratio,osm_connected,osm_supported,same_osm_edge,src_osm_edge,dst_osm_edge,src_snap_m,dst_snap_m,topology_status,component_size
4_7079,4_7614,spatial,17.386550720780996,14,10-25 km,supported,19.58252699453269,1.1263031586320906,1,1,0,"(258029630, 6403111137, 0)","(7935950258, 321836342, 0)",2.1089649778153827,3.4619360466677613,short_connected,35
4_7614,4_B961,spatial,17.413885792270857,14,10-25 km,supported,16.929244217231204,0.9721692458064265,1,1,0,"(7935950258, 321836342, 0)","(312682199, 312682099, 0)",3.4619360466677613,2.2696118005079686,short_connected,35
4_7614,4_B903,spatial,18.89298943825451,14,10-25 km,supported,16.929244217231204,0.8960595819184064,1,1,0,"(7935950258, 321836342, 0)","(312682199, 312682099, 0)",3.4619360466677613,0.693580340877027,short_connected,35
4_7614,4_B902,spatial,20.41766465503892,14,10-25 km,supported,16.929244217231204,0.8291469422803552,1,1,0,"(7935950258, 321836342, 0)","(312682199, 312682099, 0)",3.4619360466677613,0.529540860105553,short_connected,35
4_7614,4_B901,spatial,22.133910760171883,14,10-25 km,supported,20.66043185952264,0.9334288948475998,1,1,0,"(7935950258, 321836342, 0)","(312682099, 312682094, 0)",3.4619360466677613,1.85062729696087,short_connected,35
4_0261,4_1003,spatial,11.9407508371835,14,10-25 km,supported,18.250535383149582,1.528424437625598,1,1,0,"(335616865, 315694623, 0)","(1697025034, 41221470, 0)",1.1444818250268998,1.097688116273879,supported_connected,35
4_0214,4_1003,spatial,12.150155113316776,14,10-25 km,supported,18.250535383149582,1.5020825012469747,1,1,0,"(335616865, 315694623, 0)","(1697025034, 41221470, 0)",4.251369695221053,1.097688116273879,supported_connected,35
4_0222,4_1003,spatial,12.362360852804503,14,10-25 km,supported,18.250535383149582,1.4762985485097937,1,1,0,"(335616865, 315694623, 0)","(1697025034, 41221470, 0)",3.801695785331936,1.097688116273879,short_connected,35
4_0218,4_1003,spatial,12.592352554925103,14,10-25 km,supported,18.250535383149582,1.4493348485554798,1,1,0,"(335616865, 315694623, 0)","(1697025034, 41221470, 0)",5.146062690848466,1.097688116273879,short_connected,35
4_0220,4_1003,spatial,12.90993894405675,14,10-25 km,supported,18.250535383149582,1.4136809989757109,1,1,0,"(335616865, 315694623, 0)","(1697025034, 41221470, 0)",3.553194016680781,1.097688116273879,short_connected,35
4_0224,4_1003,spatial,13.134900603273568,14,10-25 km,supported,18.250535383149582,1.389468861195726,1,1,0,"(335616865, 315694623, 0)","(1697025034, 41221470, 0)",4.043993467322428,1.097688116273879,short_connected,35
4_0216,4_1003,spatial,13.349124983698667,14,10-25 km,supported,18.250535383149582,1.367170912358397,1,1,0,"(335616865, 315694623, 0)","(1697025034, 41221470, 0)",3.907634915920607,1.097688116273879,short_connected,35
4_0215,4_1003,spatial,13.645013822897774,14,10-25 km,supported,18.250535383149582,1.3375241403217384,1,1,0,"(335616865, 315694623, 0)","(1697025034, 41221470, 0)",3.7386220784314754,1.097688116273879,short_connected,35
4_0213,4_0262,spatial,0.2099955017139053,14,0-1 km,supported,0.0,0.0,1,1,1,"(335616865, 315694623, 0)","(335616865, 315694623, 0)",3.658053697583573,1.7890895883276445,same_osm_edge,35
4_0213,4_0221,spatial,0.2980361394709162,14,0-1 km,supported,0.0,0.0,1,1,1,"(335616865, 315694623, 0)","(335616865, 315694623, 0)",3.658053697583573,0.09822099809364271,same_osm_edge,35
4_0213,4_0217,spatial,0.457771088463461,14,0-1 km,supported,0.0,0.0,1,1,1,"(335616865, 315694623, 0)","(335616865, 315694623, 0)",3.658053697583573,2.5873824563585393,same_osm_edge,35
