node_id_join,construction_no_snapshot,n_layers,total_thickness_in,max_layer_thickness_in,surface_thickness_in,binder_thickness_in,base_thickness_in,subbase_thickness_in,subgrade_thickness_in,material_codes,material_labels,total_thickness_mm,max_layer_thickness_mm,surface_thickness_mm,binder_thickness_mm,base_thickness_mm,subbase_thickness_mm,subgrade_thickness_mm,material_text,has_ac_layer,has_pcc_layer,surface_is_ac,surface_is_pcc,has_bound_base,has_granular_base,has_subbase_layer,has_engineering_fabric,has_stabilized_layer,n_bound_layers,n_unbound_layers
24_901,1,5,21.799999952316284,6.699999809265137,9.100000143051147,0.0,6.699999809265137,6.0,0.0,"1,141,303,331","Cement Aggregate Mixture,Crushed Stone,Fine-Grained Soils: Silt,Hot Mixed, Hot Laid AC, Dense Graded",553.7199987888335,170.17999515533447,231.14000363349913,0.0,170.17999515533447,152.39999999999998,0.0,"Cement Aggregate Mixture | Base Layer | Bound (treated) base | 331 | 5 | TB || Crushed Stone | Subbase Layer | Unbound (granular) subbase | 303 | 6 | GS || Fine-Grained Soils: Silt | Subgrade | Subgrade (untreated) | 141 | 7 | SS || Hot Mixed, Hot Laid AC, Dense Graded | AC Layer Below Surface (Binder Course) | Asphalt concrete layer | 1 | 4 | AC || Hot Mixed, Hot Laid AC, Dense Graded | Original Surface Layer | Asphalt concrete layer | 1 | 3 | AC",1,0,1,0,1,0,1,0,1,4,1
24_902,1,5,20.50000023841858,6.400000095367432,9.200000047683716,0.0,5.300000190734863,6.0,0.0,"1,141,303,331","Cement Aggregate Mixture,Crushed Stone,Fine-Grained Soils: Silt,Hot Mixed, Hot Laid AC, Dense Graded",520.7000060558319,162.56000242233276,233.68000121116637,0.0,134.62000484466552,152.39999999999998,0.0,"Cement Aggregate Mixture | Base Layer | Bound (treated) base | 331 | 5 | TB || Crushed Stone | Subbase Layer | Unbound (granular) subbase | 303 | 6 | GS || Fine-Grained Soils: Silt | Subgrade | Subgrade (untreated) | 141 | 7 | SS || Hot Mixed, Hot Laid AC, Dense Graded | AC Layer Below Surface (Binder Course) | Asphalt concrete layer | 1 | 4 | AC || Hot Mixed, Hot Laid AC, Dense Graded | Original Surface Layer | Asphalt concrete layer | 1 | 3 | AC",1,0,1,0,1,0,1,0,1,4,1
24_903,1,5,21.299999952316284,6.099999904632568,9.399999856948853,0.0,5.900000095367432,6.0,0.0,"1,141,303,331","Cement Aggregate Mixture,Crushed Stone,Fine-Grained Soils: Silt,Hot Mixed, Hot Laid AC, Dense Graded",541.0199987888336,154.9399975776672,238.75999636650084,0.0,149.86000242233277,152.39999999999998,0.0,"Cement Aggregate Mixture | Base Layer | Bound (treated) base | 331 | 5 | TB || Crushed Stone | Subbase Layer | Unbound (granular) subbase | 303 | 6 | GS || Fine-Grained Soils: Silt | Subgrade | Subgrade (untreated) | 141 | 7 | SS || Hot Mixed, Hot Laid AC, Dense Graded | AC Layer Below Surface (Binder Course) | Asphalt concrete layer | 1 | 4 | AC || Hot Mixed, Hot Laid AC, Dense Graded | Original Surface Layer | Asphalt concrete layer | 1 | 3 | AC",1,0,1,0,1,0,1,0,1,4,1
24_960,1,5,21.799999713897705,6.699999809265137,9.099999904632568,0.0,6.699999809265137,6.0,0.0,"1,141,303,331","Cement Aggregate Mixture,Crushed Stone,Fine-Grained Soils: Silt,Hot Mixed, Hot Laid AC, Dense Graded",553.7199927330017,170.17999515533447,231.13999757766723,0.0,170.17999515533447,152.39999999999998,0.0,"Cement Aggregate Mixture | Base Layer | Bound (treated) base | 331 | 5 | TB || Crushed Stone | Subbase Layer | Unbound (granular) subbase | 303 | 6 | GS || Fine-Grained Soils: Silt | Subgrade | Subgrade (untreated) | 141 | 7 | SS || Hot Mixed, Hot Laid AC, Dense Graded | AC Layer Below Surface (Binder Course) | Asphalt concrete layer | 1 | 4 | AC || Hot Mixed, Hot Laid AC, Dense Graded | Original Surface Layer | Asphalt concrete layer | 1 | 3 | AC",1,0,1,0,1,0,1,0,1,4,1
24_961,1,5,20.300000190734863,6.0,8.900000095367432,0.0,5.400000095367432,6.0,0.0,"1,141,303,331","Cement Aggregate Mixture,Crushed Stone,Fine-Grained Soils: Silt,Hot Mixed, Hot Laid AC, Dense Graded",515.6200048446655,152.39999999999998,226.06000242233276,0.0,137.16000242233275,152.39999999999998,0.0,"Cement Aggregate Mixture | Base Layer | Bound (treated) base | 331 | 5 | TB || Crushed Stone | Subbase Layer | Unbound (granular) subbase | 303 | 6 | GS || Fine-Grained Soils: Silt | Subgrade | Subgrade (untreated) | 141 | 7 | SS || Hot Mixed, Hot Laid AC, Dense Graded | AC Layer Below Surface (Binder Course) | Asphalt concrete layer | 1 | 4 | AC || Hot Mixed, Hot Laid AC, Dense Graded | Original Surface Layer | Asphalt concrete layer | 1 | 3 | AC",1,0,1,0,1,0,1,0,1,4,1
24_962,1,5,20.899999618530273,7.099999904632568,10.199999809265137,0.0,4.699999809265137,6.0,0.0,"1,141,303,331","Cement Aggregate Mixture,Crushed Stone,Fine-Grained Soils: Silt,Hot Mixed, Hot Laid AC, Dense Graded",530.8599903106689,180.33999757766722,259.0799951553345,0.0,119.37999515533447,152.39999999999998,0.0,"Cement Aggregate Mixture | Base Layer | Bound (treated) base | 331 | 5 | TB || Crushed Stone | Subbase Layer | Unbound (granular) subbase | 303 | 6 | GS || Fine-Grained Soils: Silt | Subgrade | Subgrade (untreated) | 141 | 7 | SS || Hot Mixed, Hot Laid AC, Dense Graded | AC Layer Below Surface (Binder Course) | Asphalt concrete layer | 1 | 4 | AC || Hot Mixed, Hot Laid AC, Dense Graded | Original Surface Layer | Asphalt concrete layer | 1 | 3 | AC",1,0,1,0,1,0,1,0,1,4,1
24_A310,1,4,21.40000009536743,13.0,3.5999999046325684,0.0,4.800000190734863,13.0,0.0,"1,141,309,320","Fine-Grained Soils,Fine-Grained Soils: Silt,Hot Mixed, Hot Laid AC, Dense Graded,Sand Asphalt",543.5600024223328,330.2,91.43999757766723,0.0,121.92000484466553,330.2,0.0,"Fine-Grained Soils | Subbase Layer | Unbound (granular) subbase | 309 | 6 | GS || Fine-Grained Soils: Silt | Subgrade | Subgrade (untreated) | 141 | 7 | SS || Hot Mixed, Hot Laid AC, Dense Graded | Original Surface Layer | Asphalt concrete layer | 1 | 3 | AC || Sand Asphalt | Base Layer | Bound (treated) base | 320 | 5 | TB",1,0,1,0,1,0,1,0,1,3,1
24_A311,1,4,21.40000009536743,13.0,3.5999999046325684,0.0,4.800000190734863,13.0,0.0,"1,141,309,320","Fine-Grained Soils,Fine-Grained Soils: Silt,Hot Mixed, Hot Laid AC, Dense Graded,Sand Asphalt",543.5600024223328,330.2,91.43999757766723,0.0,121.92000484466553,330.2,0.0,"Fine-Grained Soils | Subbase Layer | Unbound (granular) subbase | 309 | 6 | GS || Fine-Grained Soils: Silt | Subgrade | Subgrade (untreated) | 141 | 7 | SS || Hot Mixed, Hot Laid AC, Dense Graded | Original Surface Layer | Asphalt concrete layer | 1 | 3 | AC || Sand Asphalt | Base Layer | Bound (treated) base | 320 | 5 | TB",1,0,1,0,1,0,1,0,1,3,1
24_A320,1,4,21.00000023841858,13.0,3.200000047683716,0.0,4.800000190734863,13.0,0.0,"1,141,309,320","Fine-Grained Soils,Fine-Grained Soils: Silt,Hot Mixed, Hot Laid AC, Dense Graded,Sand Asphalt",533.4000060558319,330.2,81.28000121116638,0.0,121.92000484466553,330.2,0.0,"Fine-Grained Soils | Subbase Layer | Unbound (granular) subbase | 309 | 6 | GS || Fine-Grained Soils: Silt | Subgrade | Subgrade (untreated) | 141 | 7 | SS || Hot Mixed, Hot Laid AC, Dense Graded | Original Surface Layer | Asphalt concrete layer | 1 | 3 | AC || Sand Asphalt | Base Layer | Bound (treated) base | 320 | 5 | TB",1,0,1,0,1,0,1,0,1,3,1
24_A330,1,4,21.40000009536743,13.0,3.5999999046325684,0.0,4.800000190734863,13.0,0.0,"1,141,309,320","Fine-Grained Soils,Fine-Grained Soils: Silt,Hot Mixed, Hot Laid AC, Dense Graded,Sand Asphalt",543.5600024223328,330.2,91.43999757766723,0.0,121.92000484466553,330.2,0.0,"Fine-Grained Soils | Subbase Layer | Unbound (granular) subbase | 309 | 6 | GS || Fine-Grained Soils: Silt | Subgrade | Subgrade (untreated) | 141 | 7 | SS || Hot Mixed, Hot Laid AC, Dense Graded | Original Surface Layer | Asphalt concrete layer | 1 | 3 | AC || Sand Asphalt | Base Layer | Bound (treated) base | 320 | 5 | TB",1,0,1,0,1,0,1,0,1,3,1
24_A331,1,4,21.40000009536743,13.0,3.5999999046325684,0.0,4.800000190734863,13.0,0.0,"1,141,309,320","Fine-Grained Soils,Fine-Grained Soils: Silt,Hot Mixed, Hot Laid AC, Dense Graded,Sand Asphalt",543.5600024223328,330.2,91.43999757766723,0.0,121.92000484466553,330.2,0.0,"Fine-Grained Soils | Subbase Layer | Unbound (granular) subbase | 309 | 6 | GS || Fine-Grained Soils: Silt | Subgrade | Subgrade (untreated) | 141 | 7 | SS || Hot Mixed, Hot Laid AC, Dense Graded | Original Surface Layer | Asphalt concrete layer | 1 | 3 | AC || Sand Asphalt | Base Layer | Bound (treated) base | 320 | 5 | TB",1,0,1,0,1,0,1,0,1,3,1
24_A340,1,4,21.40000009536743,13.0,3.5999999046325684,0.0,4.800000190734863,13.0,0.0,"1,141,309,320","Fine-Grained Soils,Fine-Grained Soils: Silt,Hot Mixed, Hot Laid AC, Dense Graded,Sand Asphalt",543.5600024223328,330.2,91.43999757766723,0.0,121.92000484466553,330.2,0.0,"Fine-Grained Soils | Subbase Layer | Unbound (granular) subbase | 309 | 6 | GS || Fine-Grained Soils: Silt | Subgrade | Subgrade (untreated) | 141 | 7 | SS || Hot Mixed, Hot Laid AC, Dense Graded | Original Surface Layer | Asphalt concrete layer | 1 | 3 | AC || Sand Asphalt | Base Layer | Bound (treated) base | 320 | 5 | TB",1,0,1,0,1,0,1,0,1,3,1
24_A350,1,4,21.600000143051147,13.0,3.700000047683716,0.0,4.900000095367432,13.0,0.0,"1,141,309,320","Fine-Grained Soils,Fine-Grained Soils: Silt,Hot Mixed, Hot Laid AC, Dense Graded,Sand Asphalt",548.6400036334991,330.2,93.98000121116638,0.0,124.46000242233276,330.2,0.0,"Fine-Grained Soils | Subbase Layer | Unbound (granular) subbase | 309 | 6 | GS || Fine-Grained Soils: Silt | Subgrade | Subgrade (untreated) | 141 | 7 | SS || Hot Mixed, Hot Laid AC, Dense Graded | Original Surface Layer | Asphalt concrete layer | 1 | 3 | AC || Sand Asphalt | Base Layer | Bound (treated) base | 320 | 5 | TB",1,0,1,0,1,0,1,0,1,3,1
25_1002,1,5,20.199999690055847,8.399999618530273,7.800000071525574,0.0,4.0,8.399999618530273,0.0,"1,204,304,308","Coarse-Grained Soils: Poorly Graded Sand with Silt,Crushed Gravel,Hot Mixed, Hot Laid AC, Dense Graded,Soil-Aggregate Mixture (Predominantly Coarse-Grained)",513.0799921274184,213.35999031066893,198.12000181674955,0.0,101.6,213.35999031066893,0.0,"Coarse-Grained Soils: Poorly Graded Sand with Silt | Subgrade | Subgrade (untreated) | 204 | 7 | SS || Crushed Gravel | Base Layer | Unbound (granular) base | 304 | 5 | GB || Hot Mixed, Hot Laid AC, Dense Graded | AC Layer Below Surface (Binder Course) | Asphalt concrete layer | 1 | 4 | AC || Hot Mixed, Hot Laid AC, Dense Graded | Original Surface Layer | Asphalt concrete layer | 1 | 3 | AC || Soil-Aggregate Mixture (Predominantly Coarse-Grained) | Subbase Layer | Unbound (granular) subbase | 308 | 6 | GS",1,0,1,0,1,1,1,0,1,3,2
25_1003,1,4,19.299999952316284,12.699999809265137,6.6000001430511475,0.0,12.699999809265137,0.0,0.0,"1,205,302","Coarse-Grained Soils: Poorly Graded Sand with Silt and Gravel,Gravel (Uncrushed),Hot Mixed, Hot Laid AC, Dense Graded",490.2199987888336,322.5799951553345,167.64000363349913,0.0,322.5799951553345,0.0,0.0,"Coarse-Grained Soils: Poorly Graded Sand with Silt and Gravel | Subgrade | Subgrade (untreated) | 205 | 7 | SS || Gravel (Uncrushed) | Base Layer | Unbound (granular) base | 302 | 5 | GB || Hot Mixed, Hot Laid AC, Dense Graded | AC Layer Below Surface (Binder Course) | Asphalt concrete layer | 1 | 4 | AC || Hot Mixed, Hot Laid AC, Dense Graded | Original Surface Layer | Asphalt concrete layer | 1 | 3 | AC",1,0,1,0,1,1,0,0,1,2,2
25_1004,1,4,32.99999940395355,23.399999618530273,9.599999785423279,0.0,23.399999618530273,0.0,0.0,"1,265,307","Coarse-Grained Soil: Silty Gravel with Sand,Hot Mixed, Hot Laid AC, Dense Graded,Soil-Aggregate Mixture (Predominantly Fine-Grained)",838.1999848604202,594.3599903106689,243.83999454975128,0.0,594.3599903106689,0.0,0.0,"Coarse-Grained Soil: Silty Gravel with Sand | Subgrade | Subgrade (untreated) | 265 | 7 | SS || Hot Mixed, Hot Laid AC, Dense Graded | AC Layer Below Surface (Binder Course) | Asphalt concrete layer | 1 | 4 | AC || Hot Mixed, Hot Laid AC, Dense Graded | Original Surface Layer | Asphalt concrete layer | 1 | 3 | AC || Soil-Aggregate Mixture (Predominantly Fine-Grained) | Base Layer | Unbound (granular) base | 307 | 5 | GB",1,0,1,0,1,1,0,0,1,2,2
26_1001,1,3,13.09999966621399,10.899999618530273,2.200000047683716,0.0,10.899999618530273,0.0,0.0,"1,202,302","Coarse-Grained Soils: Poorly Graded Sand,Gravel (Uncrushed),Hot Mixed, Hot Laid AC, Dense Graded",332.7399915218353,276.85999031066893,55.88000121116638,0.0,276.85999031066893,0.0,0.0,"Coarse-Grained Soils: Poorly Graded Sand | Subgrade | Subgrade (untreated) | 202 | 7 | SS || Gravel (Uncrushed) | Base Layer | Unbound (granular) base | 302 | 5 | GB || Hot Mixed, Hot Laid AC, Dense Graded | Original Surface Layer | Asphalt concrete layer | 1 | 3 | AC",1,0,1,0,1,1,0,0,1,2,1
