scenario_id,num_closed_nodes,closed_node_ids,delta_vht_proxy,connectivity_loss_pct,disconnected_od_pct,disruption_score
scenario_0205,6,19_0219;39_0203;39_0903;48_0113;6_0206;8_0220,840165510.6674492,7.072792755102864e-05,0.03034347785767714,865718477.4025406
scenario_0206,2,5_0809;5_0810,0.0,2.0576646941883325e-08,0.0,0.0
scenario_0207,4,37_0211;49_D448;4_0214;53_0203,0.0,0.00045671948049630373,0.0,0.0
scenario_0208,3,56_B310;56_B320;56_B360,0.0,0.00013893689878285986,0.0,0.0
scenario_0209,4,6_0203;6_0206;6_0207;6_0211,0.0,0.00011030027548031285,0.0,0.0
scenario_0210,3,19_0101;19_0106;19_0110,0.0,4.1835463001627105e-06,0.0,0.0
scenario_0211,4,8_A430;8_A431;8_A442;8_A444,0.0,0.0018056036824763977,0.0,0.0
scenario_0212,4,29_A350;29_AA01;29_AA02;29_AA61,0.0,0.0031472821297447995,0.0,0.0
scenario_0213,5,30_0113;30_0114;30_0118;30_0123;30_0124,0.0,1.0362102305538912e-05,0.0,0.0
scenario_0214,3,28_1001;39_0203;5_0219,3875417.1272073356,0.00029827615628030824,0.0,3876573.0717320223
scenario_0215,4,55_0114;55_0115;55_C902;55_C959,0.0,0.0009054600254272405,0.0,0.0
scenario_0216,5,8_A412;8_A414;8_A443;8_A444;8_A451,0.0,0.002246186716108989,0.0,0.0
scenario_0217,3,49_E451;49_E454;49_E455,0.0,0.0008028202629782877,0.0,0.0
scenario_0218,2,55_0222;55_0223,0.0,7.958336090685414e-06,0.0,0.0
scenario_0219,4,40_0114;40_0123;40_0501;40_0604,0.0,9.984577178046017e-06,0.0,0.0
scenario_0220,3,49_C430;49_C431;49_C445,0.0,0.0017332630305876284,0.0,0.0
scenario_0221,3,55_0213;55_0223;55_0262,0.0,1.1937337986100971e-05,0.0,0.0
scenario_0222,1,20_0212,0.0,1.0107499569200762e-05,0.0,0.0
scenario_0223,2,5_0116;5_0124,0.0,1.0223971427025802e-05,0.0,0.0
scenario_0224,4,48_1109;48_3579;48_F320;48_F330,0.0,0.0008245385376917103,0.0,0.0
scenario_0225,6,10_0106;27_3010;38_0218;38_0224;39_0105;4_0222,0.0,0.00222773741185045,0.0,0.0
