source_project_id,target_project_id,source_node,target_node,overlap_start,overlap_end,edge_type
24_0901_19920701_1_1,24_2805_19920130_2_1,24_0901,24_2805,1992-07-01,1992-10-06,project_conflict
24_0901_19920701_1_1,24_2805_19921006_3_1,24_0901,24_2805,1992-10-06,2016-08-01,project_conflict
24_0901_19921005_2_1,24_2805_19880801_1_1,24_0901,24_2805,1992-10-05,1992-10-06,project_conflict
24_0901_19921005_2_1,24_2805_19920130_2_1,24_0901,24_2805,1992-10-05,1992-10-06,project_conflict
24_0901_19921005_2_1,24_2805_19921006_3_1,24_0901,24_2805,1992-10-06,2016-08-01,project_conflict
24_0902_19920701_1_1,24_2805_19880801_1_1,24_0902,24_2805,1992-07-01,1992-10-06,project_conflict
24_0902_19920701_1_1,24_2805_19920130_2_1,24_0902,24_2805,1992-07-01,1992-10-06,project_conflict
24_0902_19920701_1_1,24_2805_19921006_3_1,24_0902,24_2805,1992-10-06,2013-07-30,project_conflict
24_0902_19921004_2_1,24_2805_19880801_1_1,24_0902,24_2805,1992-10-04,1992-10-06,project_conflict
24_0902_19921004_2_1,24_2805_19920130_2_1,24_0902,24_2805,1992-10-04,1992-10-06,project_conflict
24_0902_19921004_2_1,24_2805_19921006_3_1,24_0902,24_2805,1992-10-06,2013-07-30,project_conflict
24_0902_20080601_3_1,24_2805_19921006_3_1,24_0902,24_2805,2008-06-01,2013-07-30,project_conflict
24_0903_19920701_1_1,24_2805_19880801_1_1,24_0903,24_2805,1992-07-01,1992-10-06,project_conflict
24_0903_19920701_1_1,24_2805_19920130_2_1,24_0903,24_2805,1992-07-01,1992-10-06,project_conflict
24_0903_19920701_1_1,24_2805_19921006_3_1,24_0903,24_2805,1992-10-06,2016-08-01,project_conflict
24_0903_19921004_2_1,24_2805_19880801_1_1,24_0903,24_2805,1992-10-04,1992-10-06,project_conflict
24_0903_19921004_2_1,24_2805_19920130_2_1,24_0903,24_2805,1992-10-04,1992-10-06,project_conflict
24_0903_19921004_2_1,24_2805_19921006_3_1,24_0903,24_2805,1992-10-06,2016-08-01,project_conflict
24_0962_19920701_1_1,24_2805_19880801_1_1,24_0962,24_2805,1992-07-01,1992-10-06,project_conflict
24_0962_19920701_1_1,24_2805_19920130_2_1,24_0962,24_2805,1992-07-01,1992-10-06,project_conflict
24_0962_19920701_1_1,24_2805_19921006_3_1,24_0962,24_2805,1992-10-06,2016-08-01,project_conflict
24_0962_19921004_2_1,24_2805_19880801_1_1,24_0962,24_2805,1992-10-04,1992-10-06,project_conflict
24_0962_19921004_2_1,24_2805_19920130_2_1,24_0962,24_2805,1992-10-04,1992-10-06,project_conflict
24_0962_19921004_2_1,24_2805_19921006_3_1,24_0962,24_2805,1992-10-06,2016-08-01,project_conflict
24_0960_19920701_1_1,24_2805_19880801_1_1,24_0960,24_2805,1992-07-01,1992-10-06,project_conflict
24_0960_19920701_1_1,24_2805_19920130_2_1,24_0960,24_2805,1992-07-01,1992-10-06,project_conflict
24_0960_19920701_1_1,24_2805_19921006_3_1,24_0960,24_2805,1992-10-06,2016-08-01,project_conflict
24_0960_19921004_2_1,24_2805_19880801_1_1,24_0960,24_2805,1992-10-04,1992-10-06,project_conflict
24_0960_19921004_2_1,24_2805_19920130_2_1,24_0960,24_2805,1992-10-04,1992-10-06,project_conflict
24_0960_19921004_2_1,24_2805_19921006_3_1,24_0960,24_2805,1992-10-06,2016-08-01,project_conflict
24_0961_19920701_1_1,24_2805_19880801_1_1,24_0961,24_2805,1992-07-01,1992-10-06,project_conflict
24_0961_19920701_1_1,24_2805_19920130_2_1,24_0961,24_2805,1992-07-01,1992-10-06,project_conflict
24_0961_19920701_1_1,24_2805_19921006_3_1,24_0961,24_2805,1992-10-06,2016-08-01,project_conflict
24_0961_19921004_2_1,24_2805_19880801_1_1,24_0961,24_2805,1992-10-04,1992-10-06,project_conflict
24_0961_19921004_2_1,24_2805_19920130_2_1,24_0961,24_2805,1992-10-04,1992-10-06,project_conflict
24_0961_19921004_2_1,24_2805_19921006_3_1,24_0961,24_2805,1992-10-06,2016-08-01,project_conflict
24_0501_19900501_1_1,24_2805_19880801_1_1,24_0501,24_2805,1990-05-01,1992-10-06,project_conflict
24_0501_19900501_1_1,24_2805_19920130_2_1,24_0501,24_2805,1992-01-30,1992-10-06,project_conflict
24_0501_19900501_1_1,24_2805_19921006_3_1,24_0501,24_2805,1992-10-06,2004-08-01,project_conflict
24_0501_19920505_2_1,24_2805_19880801_1_1,24_0501,24_2805,1992-05-05,1992-10-06,project_conflict
24_0501_19920505_2_1,24_2805_19920130_2_1,24_0501,24_2805,1992-05-05,1992-10-06,project_conflict
24_0501_19920505_2_1,24_2805_19921006_3_1,24_0501,24_2805,1992-10-06,2004-08-01,project_conflict
24_0501_19960601_3_1,24_2805_19921006_3_1,24_0501,24_2805,1996-06-01,2004-08-01,project_conflict
24_0501_19980601_4_1,24_2805_19921006_3_1,24_0501,24_2805,1998-06-01,2004-08-01,project_conflict
24_0563_19900501_1_1,24_2805_19880801_1_1,24_0563,24_2805,1990-05-01,1992-10-06,project_conflict
24_0563_19900501_1_1,24_2805_19920130_2_1,24_0563,24_2805,1992-01-30,1992-10-06,project_conflict
24_0563_19900501_1_1,24_2805_19921006_3_1,24_0563,24_2805,1992-10-06,2009-05-01,project_conflict
24_0563_19920512_2_1,24_2805_19880801_1_1,24_0563,24_2805,1992-05-12,1992-10-06,project_conflict
24_0563_19920512_2_1,24_2805_19920130_2_1,24_0563,24_2805,1992-05-12,1992-10-06,project_conflict
24_0563_19920512_2_1,24_2805_19921006_3_1,24_0563,24_2805,1992-10-06,2009-05-01,project_conflict
24_2401_19880801_1_1,24_5807_19890401_1_1,24_2401,24_5807,1989-04-01,2006-10-01,project_conflict
24_2401_19880801_1_1,24_5807_19901101_2_1,24_2401,24_5807,1990-11-01,2006-10-01,project_conflict
24_2401_19880801_1_1,24_5807_20020901_3_1,24_2401,24_5807,2002-09-01,2006-10-01,project_conflict
24_2401_20000701_2_1,24_5807_19890401_1_1,24_2401,24_5807,2000-07-01,2006-10-01,project_conflict
24_2401_20000701_2_1,24_5807_19901101_2_1,24_2401,24_5807,2000-07-01,2006-10-01,project_conflict
