source,target,edge_role,distance_km,diversion_potential,speed_mph,travel_time_hours,capacity_proxy,demand_proxy
10_0101,10_0159,corridor,1.5932616077782333,1.0,55.0,0.01800016955316785,2.0,366320.2599794519
10_0102,10_0103,corridor,0.5252495130618897,1.0,55.0,0.005934104133731724,2.0,366353.41812754364
10_0102,10_0107,corridor,0.42248628438633984,1.0,55.0,0.004773117431384519,2.0,366357.9885611056
10_0103,10_0104,corridor,1.6844211646310336,1.0,55.0,0.01903006161341164,2.0,366323.8799232237
10_0104,10_0105,corridor,2.4208015484600183,1.0,55.0,0.027349456055503478,2.0,366349.5695484148
10_0105,10_0106,corridor,2.2341464509284097,1.0,55.0,0.025240685350724348,2.0,366338.988870291
10_0106,10_0160,corridor,2.6579262397883623,1.0,55.0,0.03002841638964773,2.0,366317.8699201206
10_0107,10_0212,corridor,8.076057797986625,1.0,55.0,0.09124076609594475,2.0,467292.81639966177
10_0108,10_0109,corridor,0.21208926312013357,1.0,55.0,0.002396117924345424,2.0,366313.2999870515
10_0108,10_0160,corridor,2.014024787018058,1.0,55.0,0.022753819883453725,2.0,366317.8699201206
10_0109,10_0110,corridor,0.4267209131177942,1.0,55.0,0.004820958937631058,2.0,366320.80997321353
10_0110,10_0111,corridor,0.4339318730948162,1.0,55.0,0.004902426100081865,2.0,366325.24
10_0111,10_0112,corridor,0.21938240051590513,1.0,55.0,0.0024785135014794898,2.0,366328.4899855833
10_0112,10_0159,corridor,0.859452408207148,1.0,55.0,0.00970982354378077,2.0,366324.0599194942
10_0201,10_0202,corridor,1.3111660522358017,1.0,55.0,0.014813142510546974,2.0,595793.907079678
10_0201,10_0259,corridor,2.6100120134291744,1.0,55.0,0.029487096499515607,2.0,595852.8983178886
10_0202,10_0203,corridor,0.6392528135102787,1.0,55.0,0.007222077638944917,2.0,595970.8883182214
10_0203,10_0205,corridor,0.9764819174382721,1.0,55.0,0.011031986205957632,2.0,595970.8883182214
10_0204,10_0205,corridor,2.7007893039378836,1.0,55.0,0.03051266983458926,2.0,595941.3934286743
10_0204,10_0207,corridor,1.5109532174634344,1.0,55.0,0.01707027519427427,2.0,596029.9
10_0206,10_0259,corridor,1.518163990793576,1.0,55.0,0.017151740248047206,2.0,595911.8970792663
10_0206,10_0260,corridor,1.5754394418769624,1.0,55.0,0.017798820316820587,2.0,595911.8970792663
10_0207,10_0208,corridor,1.3086030256974241,1.0,55.0,0.014784186241196833,2.0,596059.3992699973
10_0208,10_0209,corridor,1.9834906069828704,1.0,55.0,0.022408854301456956,2.0,595911.8837163663
10_0209,10_0210,corridor,1.3607999091638447,1.0,55.0,0.01537389024708994,2.0,595734.92
10_0210,10_0211,corridor,1.1452989697063196,1.0,55.0,0.012939228274338544,2.0,595911.8837163663
10_0211,10_0212,corridor,1.5588776933025097,1.0,55.0,0.017611710879813065,2.0,596088.9
10_0260,10_1450,corridor,20.597484597710388,1.0,55.0,0.23270391586511904,2.0,771310.7202302688
10_1201,10_5005,corridor,19.156606635616175,1.0,55.0,0.21642532891084854,2.0,434659.0879856884
10_1201,28_4024,corridor,1538.651724621379,1.0,55.0,17.38320423416238,2.0,223219.42950077442
10_4002,13_1001,corridor,946.4951350003483,1.0,55.0,10.693204950198087,2.0,209951.9221667437
10_5005,5_3048,corridor,1488.072463168073,1.0,55.0,16.811775614035714,1.5,188571.1090492836
11_1400,34_4042,corridor,213.2553469293033,1.0,55.0,2.4092919732120937,2.5,1291228.568782423
12_0101,12_0102,corridor,0.41017889597491397,1.0,55.0,0.0046340724201441585,2.0,1207250.7361878327
12_0102,12_0103,corridor,1.024299601871035,1.0,55.0,0.011572215395707502,2.0,1207250.7361878327
12_0103,12_0104,corridor,0.3517880784163362,1.0,55.0,0.003974391291024284,2.0,1207090.838305479
12_0104,12_0105,corridor,0.662690065875269,1.0,55.0,0.00748686435970103,2.0,1207186.7694100852
12_0105,12_0106,corridor,3.407332512359068,1.0,55.0,0.03849497323418937,2.0,1207186.7694100852
12_0106,12_0107,corridor,0.946979809800424,1.0,55.0,0.010698680653960053,2.0,1207218.7447509267
12_0107,12_0108,corridor,0.45941533175300053,1.0,55.0,0.005190330217277105,2.0,1207218.7447509267
12_0108,12_0109,corridor,2.720141081055404,1.0,55.0,0.03073130013834473,2.0,1207026.88
12_0109,12_0110,corridor,1.4041192246257823,1.0,55.0,0.0158632982761514,2.0,1207026.88
12_0110,12_0111,corridor,0.4582804553263961,1.0,55.0,0.005177508739623314,2.0,1207026.88
12_0111,12_0112,corridor,0.5025691164011536,1.0,55.0,0.005677868131161093,2.0,1207026.88
12_0112,12_0161,corridor,3.12926983732502,1.0,55.0,0.03535350840971533,2.0,1207218.7447509267
12_0161,12_4135,corridor,173.67606915963472,1.0,55.0,1.9621377160782423,2.0,903714.0727076686
12_0502,12_0503,corridor,0.9399923959456181,1.0,55.0,0.01061973904543159,2.0,483407.93998614466
12_0502,12_0507,corridor,2.9041026346683636,1.0,55.0,0.03280964002937809,2.0,483407.93998614466
12_0503,12_0504,corridor,2.2363895120347173,1.0,55.0,0.02526602675105342,2.0,483404.28
12_0504,12_0505,corridor,0.5519189113938119,1.0,55.0,0.006235406625119184,2.0,483404.28
12_0505,12_0506,corridor,1.3489849724664598,1.0,55.0,0.015240408800744515,2.0,483404.28
12_0506,12_0562,corridor,1.0699934870720342,1.0,55.0,0.012088450568353082,2.0,483404.28
12_0507,12_4059,corridor,224.89855212162792,1.0,55.0,2.5408332509162754,2.0,265499.87972716824
12_0508,12_0509,corridor,0.8881836702180657,1.0,55.0,0.010034420323837617,2.0,483404.28
12_0508,12_0562,corridor,2.2595276771317,1.0,55.0,0.025527434477732824,2.0,483404.28
12_0509,12_0561,corridor,1.4073453138461538,1.0,55.0,0.015899745619561197,2.0,483404.28
12_0561,12_0563,corridor,3.698814046748043,1.0,55.0,0.041788040119755954,2.0,483411.5999445789
12_0563,12_0564,corridor,0.2676726176798899,1.0,55.0,0.0030240812177085574,2.0,483422.579986145
12_0564,12_0565,corridor,2.8407162199208496,1.0,55.0,0.03209352021123114,2.0,483415.2598753035
12_0565,12_0566,corridor,0.8314082389633197,1.0,55.0,0.009392989322142446,2.0,483404.28
12_0566,12_1030,corridor,2.496447341175846,1.0,55.0,0.028204078477973987,2.0,505582.1558716107
12_0901,12_0902,corridor,1.13125167447213,1.0,55.0,0.012780526341934977,2.0,1336868.7699999954
12_0902,12_0903,corridor,0.6096901794606606,1.0,55.0,0.006888088278545136,2.0,1336868.88
12_0903,12_0959,corridor,1.2801554963619677,1.0,55.0,0.014462794983849593,2.0,1303705.4610984465
12_0959,28_5805,corridor,633.9867082236588,1.0,55.0,7.1625828343370435,2.0,1080584.0268580157
12_3804,12_4057,corridor,9.990997012984048,1.0,55.0,0.11287514828759895,3.0,2633967.953555927
12_3811,22_0704,corridor,617.130943905901,1.0,55.0,6.972151699747055,2.0,1949494.0502388135
12_3811,4_6053,corridor,2472.589248074079,1.0,55.0,27.93453723066688,2.0,1717122.2990846983
12_3995,12_4106,corridor,44.77952281352733,1.0,55.0,0.5059049933911623,3.0,900452.9055209495
12_3995,51_A340,corridor,1196.5265143786926,1.0,55.0,13.517980994791683,2.5,1208004.1299119345
12_3996,37_1040,corridor,818.0638713701175,1.0,55.0,9.24222884559246,2.0,111323.49864692539
12_3996,51_1419,corridor,935.6265658239573,1.0,55.0,10.570415267059872,2.0,90229.05834007135
12_3997,12_B310,corridor,0.049043054012952066,1.0,55.0,0.0005648843060452789,2.0,152965.8075348344
12_3997,13_4420,corridor,205.17181101825503,1.0,55.0,2.317966721742002,2.0,188864.60798162053
12_4000,12_4138,corridor,7.27709472663066,1.0,55.0,0.08221433209357037,2.0,309281.91886366456
12_4057,26_6016,corridor,1846.3136433464515,1.0,55.0,20.859072023273814,2.5,995646.119411591
12_4059,12_4109,corridor,0.8047923748921099,1.0,55.0,0.009092291644029228,2.0,220622.80489146535
12_4096,1_1011,corridor,542.6045194589851,1.0,55.0,6.130175548632416,1.0,145426.2156260693
12_4097,22_0703,corridor,537.1601855650256,1.0,55.0,6.068667173161054,2.0,1147205.6508233966
12_4097,4_7614,corridor,2551.694794121892,1.0,55.0,28.828246860337913,2.5,857006.26232664
12_4100,4_6055,corridor,2479.8553797439754,1.0,55.0,28.01662770558654,1.5,359132.2446001111
12_4106,37_3011,corridor,1018.0223466468702,1.0,55.0,11.501296936484072,2.5,1148532.58682895
12_4108,48_I350,corridor,880.8664737948869,1.0,55.0,9.95175293536353,1.5,182651.69845004345
12_4109,37_0903,corridor,753.7663643349796,1.0,55.0,8.515815792752756,2.0,337163.60420163977
12_4135,12_4136,corridor,0.6822221381996101,1.0,55.0,0.007707531582112261,2.0,672376.8732380018
12_4136,12_4137,corridor,2.0207904260857217,1.0,55.0,0.022830255950047527,2.0,527031.891755294
12_4137,26_0113,corridor,1697.5348430705112,1.0,55.0,19.17821583631134,2.0,550516.4799808615
12_4154,12_C310,corridor,0.18958476928836906,1.0,55.0,0.0021418692167242933,1.0,81995.96
12_9054,12_A310,corridor,0.42667512910017646,1.0,55.0,0.004820441684170659,2.0,345492.07897953317
12_A310,12_A320,corridor,0.6533814350177379,1.0,55.0,0.007381698370057267,2.0,346903.4979731395
12_A320,12_A321,corridor,0.9601496168136788,1.0,55.0,0.010847468999868708,2.0,346933.4999189326
12_A321,12_A330,corridor,1.1919731728923832,1.0,55.0,0.013466538771878062,2.0,346926.0
12_A330,12_A350,corridor,0.22199474628872176,1.0,55.0,0.0025080269640600466,2.0,346933.4999189326
12_A350,12_A351,corridor,0.2517648258927303,1.0,55.0,0.0028443599792205084,2.0,346941.0
12_A351,12_A352,corridor,0.3223160817626297,1.0,55.0,0.003641425923474329,2.0,346941.0
12_AA01,12_AA02,corridor,1.927057296664716,1.0,55.0,0.02177128847471878,1.0,73100.0
12_AA02,12_AA03,corridor,0.4595327673108987,1.0,55.0,0.005191656967349673,1.0,73100.0
12_AA03,12_AA61,corridor,0.45415017500934507,1.0,55.0,0.005130846129009917,1.0,73100.0
12_B310,12_B320,corridor,0.24375690120949567,1.0,55.0,0.002753888959669471,2.0,238185.63876655535
12_B320,12_B321,corridor,1.873206723974757,1.0,55.0,0.021162901607036617,2.0,238220.9697418613
12_B321,12_B330,corridor,1.5870374086555274,1.0,55.0,0.017929850505125505,2.0,238232.06
12_B330,12_B350,corridor,0.10730307117047574,1.0,55.0,0.0012122764178932272,2.0,238220.9697418613
12_B350,12_B351,corridor,0.3322961986259643,1.0,55.0,0.0037541781512462403,2.0,238201.6298571326
12_B351,12_B352,corridor,0.2545122659781587,1.0,55.0,0.002875399694941672,2.0,238201.6298571326
12_B352,12_B360,corridor,0.3649173859764954,1.0,55.0,0.004122722086823796,2.0,238180.85823209892
12_B360,37_1030,corridor,862.5020999127458,1.0,55.0,9.744278003436145,2.0,213067.34733412345
12_C310,12_C320,corridor,0.7458690862931916,1.0,55.0,0.008426594824227114,1.0,81995.96
12_C320,12_C321,corridor,0.5413649110431344,1.0,55.0,0.006116170841837303,1.0,81995.96
12_C321,12_C330,corridor,0.35815915514939106,1.0,55.0,0.004046369716206543,1.0,81995.96
12_C330,12_C350,corridor,0.6378165247309401,1.0,55.0,0.00720585089913697,1.0,81995.96
13_0502,13_0503,corridor,0.636456398996724,1.0,55.0,0.007190484625506832,3.0,5077619.032714696
13_0502,13_4119,corridor,2.3088636200143586,1.0,55.0,0.02608481647490003,3.0,2962412.382901694
13_0503,13_0504,corridor,0.2101807606234568,1.0,55.0,0.0023745562621770053,3.0,5077347.04
13_0504,13_0505,corridor,0.6260532062263156,1.0,55.0,0.007072952618931482,3.0,5077586.514352566
13_0505,13_0506,corridor,0.2171334910692751,1.0,55.0,0.0024531060284371242,3.0,5077826.0
13_0506,13_0508,corridor,0.8365400484827952,1.0,55.0,0.009450966895325754,3.0,5077585.854321394
13_0507,13_0566,corridor,3.8970991138277578,1.0,55.0,0.04402820257008528,3.0,5077340.24
13_0507,13_4119,corridor,3.2165296899960465,1.0,55.0,0.036339342836149056,3.0,2962251.7117709354
13_0508,13_0565,corridor,3.947241767820473,1.0,55.0,0.04459469853616415,3.0,5077335.829990367
13_0509,13_0560,corridor,4.24339746700729,1.0,55.0,0.047940572668494136,3.0,5077363.199948087
13_0509,13_0565,corridor,3.815569143652017,1.0,55.0,0.04310710255759297,3.0,5077356.04991072
13_0560,13_0561,corridor,0.6238612576895854,1.0,55.0,0.007048188672370327,3.0,5077340.8999999575
13_0561,13_0562,corridor,0.21191774563016105,1.0,55.0,0.002394180173579469,3.0,5077341.56
13_0562,13_0563,corridor,0.4206290836475549,1.0,55.0,0.0047521353603742125,3.0,5077343.639999574
13_0563,13_0564,corridor,1.0506911717387069,1.0,55.0,0.011870379068310406,3.0,5077346.379999957
13_0564,13_4118,corridor,140.38435178310885,1.0,55.0,1.586018342732355,3.0,4124543.1848736117
13_1004,27_1085,corridor,1375.8093319868644,1.0,55.0,15.543461995000373,1.0,73954.15058913191
13_1031,51_1419,corridor,341.5094473992199,1.0,55.0,3.8582665440403,2.0,222882.12157141542
13_3011,13_3015,corridor,49.554148224421894,1.0,55.0,0.559847212628349,2.0,2863379.5512536964
13_3016,28_7012,corridor,524.6317094858791,1.0,55.0,5.927124382845584,2.0,3205425.0095396335
13_3017,13_3018,corridor,12.738675309766705,1.0,55.0,0.14391755524587385,2.0,2385449.7732938332
13_3017,45_5035,corridor,286.88570561906323,1.0,55.0,3.2411446546586937,2.0,1786128.0320987175
13_3018,48_2172,corridor,1706.9768284976221,1.0,55.0,19.284888424025006,2.0,1244752.8507572096
13_3019,39_0110,corridor,675.1215482390633,1.0,55.0,7.62731134546475,2.0,1447050.0383034444
13_3019,51_1423,corridor,289.31482359766466,1.0,55.0,3.2685880671315815,2.0,492570.6136380862
13_3020,13_4092,corridor,103.38605566167335,1.0,55.0,1.1680232061440585,2.0,472832.3109478877
13_4092,13_4093,corridor,3.5872936867808747,1.0,55.0,0.04052811809675649,2.0,303330.3886952311
13_4111,28_5803,corridor,551.2755066274365,1.0,55.0,6.2281376400199795,2.0,534416.2081141867
13_4112,23_1012,corridor,1746.9696751898489,1.0,55.0,19.73671505303528,2.0,1195429.3010464234
13_4112,23_7023,corridor,1751.2493524047009,1.0,55.0,19.785065502907468,2.0,1333039.6893430818
13_4113,23_3013,corridor,1753.5751168211798,1.0,55.0,19.81134125927602,2.0,1062533.651350469
13_4113,23_7023,corridor,1743.8609371900409,1.0,55.0,19.701593506881316,2.0,1428527.1442708257
13_5023,23_1012,corridor,1770.2968834602561,1.0,55.0,20.000258530151335,2.0,1383150.4770248244
13_5023,34_6057,corridor,1221.9995688759761,1.0,55.0,13.805767569042715,2.5,2121697.5873517888
13_7028,37_3044,corridor,445.8288762915006,1.0,55.0,5.036834707977416,2.0,2076554.6307722088
16_1001,16_9032,corridor,16.61320140948825,1.0,55.0,0.18769073498778438,1.5,202020.61891998746
16_1001,16_9034,corridor,75.11440273287883,1.0,55.0,0.8486189452353571,1.5,236486.27030288588
16_1005,16_9032,corridor,335.5213231957657,1.0,55.0,3.790614596336677,1.0,110925.24705773704
16_1005,32_1030,corridor,946.1348206580366,1.0,55.0,10.689134231853787,2.0,175042.2593935533
16_1007,19_3006,corridor,1990.5892352674127,1.0,55.0,22.489052375704695,1.5,196640.7136221632
16_1009,41_5008,corridor,488.85148984051125,1.0,55.0,5.5228906919551575,2.0,1153287.3803203674
