broad_treatment_group,n_events,pre_cracking_3yr_median,pre_cracking_3yr_iqr,post_cracking_3yr_median,post_cracking_3yr_iqr,treated_cracking_change_median,treated_cracking_change_iqr,pre_aadt_trucks_median,pre_aadt_trucks_iqr,post1_aadt_trucks_median,post1_aadt_trucks_iqr,traffic_change_pre_to_post_median,traffic_change_pre_to_post_iqr,esal_change_pre_to_post_median,esal_change_pre_to_post_iqr,neighbour_cracking_change_median,neighbour_cracking_change_iqr,treated_minus_neighbour_cracking_change_median,treated_minus_neighbour_cracking_change_iqr
asphalt_overlay,1219,8.0,30.0,0.0,0.0,-6.0,30.0,687.0,1242.0,780.0,1366.0,27.0,161.0,5663.5,69216.0,-3.4809178743961353,10.036483253588514,-2.351190476190477,22.633141852447597
crack_sealing,1409,1.0,13.0,1.0,15.0,0.0,3.0,900.0,1194.75,840.0,1264.0,36.0,169.0,7174.0,94295.0,-1.518026565464897,7.099273607748186,2.5757575757575757,10.31218487394958
grinding,124,0.0,2.0,0.0,1.0,0.0,0.0,1054.0,1135.0,1144.0,1131.0,51.0,72.5,13086.0,48225.0,-1.0523809523809522,3.1814903846153855,0.7334224598930486,3.576272411798727
longitudinal_subdrains_or_drainage,17,27.5,36.25,2.0,3.75,6.5,42.75,735.0,1260.0,800.0,1112.0,133.0,203.0,77949.0,126000.0,-5.3375,6.47184677607599,6.255429598649937,35.84843305581092
other_maintenance,1,,,,,,,,,,,,,,,,,,
patching,1639,4.0,24.0,6.0,28.0,0.0,3.0,1109.0,1581.0,1219.0,1761.0,48.0,169.0,10096.0,100784.0,-1.7493952588292174,7.164955836715205,3.072955974842767,10.27875
reconstruction_or_major_rehab,49,8.0,33.0,1.0,16.0,-4.5,24.75,1485.0,884.0,1548.0,1193.5,17.0,189.25,-13899.0,145352.0,-3.014729432053679,8.323513098421188,-2.232184750733138,24.631025591059405
seal_coat,519,3.0,20.75,0.0,5.0,0.0,8.0,315.5,485.0,320.0,466.0,6.0,133.0,1359.0,49276.0,-3.428571428571428,7.5,0.4515040106951863,12.023446209587513
shoulder_restoration,117,0.0,0.0,0.0,3.0,0.0,0.0,968.0,1002.0,1031.0,974.5,51.0,174.25,3247.0,75267.0,-0.4791666666666665,6.078632478632478,0.1717391304347825,4.4058272946859915
unknown,2840,8.5,23.5,0.0,3.0,1.0,7.25,535.0,834.0,471.5,779.0,21.0,111.0,5000.0,35851.0,-2.1666666666666665,7.687603268969092,10.233823529411765,24.093669836355595
