YEAR,observation_count,sheet
1952,18,TRF_TREND_2
1953,19,TRF_TREND_2
1954,27,TRF_TREND_2
1955,38,TRF_TREND_2
1956,40,TRF_TREND_2
1957,43,TRF_TREND_2
1958,58,TRF_TREND_2
1959,70,TRF_TREND_2
1960,78,TRF_TREND_2
1961,89,TRF_TREND_2
1962,102,TRF_TREND_2
1963,121,TRF_TREND_2
1964,143,TRF_TREND_2
1965,198,TRF_TREND_2
1966,259,TRF_TREND_2
1967,296,TRF_TREND_2
1968,342,TRF_TREND_2
1969,407,TRF_TREND_2
1970,486,TRF_TREND_2
1971,620,TRF_TREND_2
1972,702,TRF_TREND_2
1973,786,TRF_TREND_2
1974,902,TRF_TREND_2
1975,1012,TRF_TREND_2
1976,1085,TRF_TREND_2
1977,1148,TRF_TREND_2
1978,1228,TRF_TREND_2
1979,1313,TRF_TREND_2
1980,1400,TRF_TREND_2
1981,1463,TRF_TREND_2
1982,1556,TRF_TREND_2
1983,1603,TRF_TREND_2
1984,1658,TRF_TREND_2
1985,1722,TRF_TREND_2
1986,1803,TRF_TREND_2
1987,1843,TRF_TREND_2
1988,1880,TRF_TREND_2
1989,1958,TRF_TREND_2
1990,2625,TRF_TREND_2
1991,2930,TRF_TREND_2
1992,3329,TRF_TREND_2
1993,3587,TRF_TREND_2
1994,3761,TRF_TREND_2
1995,3918,TRF_TREND_2
1996,4055,TRF_TREND_2
1997,4167,TRF_TREND_2
1998,4180,TRF_TREND_2
1999,4057,TRF_TREND_2
2000,4028,TRF_TREND_2
2001,3996,TRF_TREND_2
2002,3998,TRF_TREND_2
2003,3895,TRF_TREND_2
2004,3882,TRF_TREND_2
2005,3671,TRF_TREND_2
2006,3017,TRF_TREND_2
2007,2525,TRF_TREND_2
2008,2356,TRF_TREND_2
2009,2123,TRF_TREND_2
2010,1876,TRF_TREND_2
2011,1788,TRF_TREND_2
2012,1711,TRF_TREND_2
2013,1654,TRF_TREND_2
2014,1596,TRF_TREND_2
2015,1598,TRF_TREND_2
2016,1651,TRF_TREND_2
2017,1387,TRF_TREND_2
2018,963,TRF_TREND_2
2019,883,TRF_TREND_2
2020,874,TRF_TREND_2
2021,797,TRF_TREND_2
2022,793,TRF_TREND_2
2023,776,TRF_TREND_2
2024,753,TRF_TREND_2
