node_id,number_of_years_in_panel,number_of_years_with_monthlyagg_missing,number_of_years_with_all_monthlyagg_missing,has_MERRA_ID_mapping,MERRA_ID,percent_missing
10_0101,37,0,0,True,143016,0.0
10_0102,37,0,0,True,143016,0.0
10_0103,37,0,0,True,143016,0.0
10_0104,37,0,0,True,143016,0.0
10_0105,37,0,0,True,143016,0.0
10_0106,37,0,0,True,143016,0.0
10_0107,37,0,0,True,143016,0.0
10_0108,37,0,0,True,143016,0.0
10_0109,37,0,0,True,143016,0.0
10_0110,37,0,0,True,143016,0.0
10_0111,37,0,0,True,143016,0.0
10_0112,37,0,0,True,143016,0.0
10_0159,37,0,0,True,143016,0.0
10_0160,37,0,0,True,143016,0.0
10_0201,37,0,0,True,143016,0.0
10_0202,37,0,0,True,143016,0.0
10_0203,37,0,0,True,143016,0.0
10_0204,37,0,0,True,143016,0.0
10_0205,37,0,0,True,143016,0.0
10_0206,37,0,0,True,143016,0.0
10_0207,37,0,0,True,143016,0.0
10_0208,37,0,0,True,143016,0.0
10_0209,37,0,0,True,143016,0.0
10_0210,37,0,0,True,143016,0.0
10_0211,37,0,0,True,143016,0.0
10_0212,37,0,0,True,143016,0.0
10_0259,37,0,0,True,143016,0.0
10_0260,37,0,0,True,143016,0.0
10_1201,37,0,0,True,143017,0.0
10_1450,37,0,0,True,143016,0.0
10_4002,37,0,0,True,143016,0.0
10_5004,37,0,0,True,143592,0.0
10_5005,37,0,0,True,143016,0.0
11_1400,37,0,0,True,143014,0.0
12_0101,37,0,0,True,128608,0.0
12_0102,37,0,0,True,128608,0.0
12_0103,37,0,0,True,128608,0.0
12_0104,37,0,0,True,128608,0.0
12_0105,37,0,0,True,128608,0.0
12_0106,37,0,0,True,128608,0.0
12_0107,37,0,0,True,128608,0.0
12_0108,37,0,0,True,128608,0.0
12_0109,37,0,0,True,128608,0.0
12_0110,37,0,0,True,128608,0.0
12_0111,37,0,0,True,128608,0.0
12_0112,37,0,0,True,128608,0.0
12_0161,37,0,0,True,128608,0.0
12_0502,37,0,0,True,129184,0.0
12_0503,37,0,0,True,129184,0.0
12_0504,37,0,0,True,129184,0.0
12_0505,37,0,0,True,129184,0.0
12_0506,37,0,0,True,129184,0.0
12_0507,37,0,0,True,129184,0.0
12_0508,37,0,0,True,129184,0.0
12_0509,37,0,0,True,129184,0.0
12_0561,37,0,0,True,129184,0.0
12_0562,37,0,0,True,129184,0.0
12_0563,37,0,0,True,129184,0.0
12_0564,37,0,0,True,129184,0.0
12_0565,37,0,0,True,129184,0.0
12_0566,37,0,0,True,129184,0.0
12_0901,37,0,0,True,133213,0.0
12_0902,37,0,0,True,133213,0.0
12_0903,37,0,0,True,133213,0.0
12_0959,37,0,0,True,133213,0.0
12_1030,37,0,0,True,129184,0.0
12_1060,37,0,0,True,127456,0.0
12_1370,37,0,0,True,130912,0.0
12_3804,37,0,0,True,130333,0.0
12_3811,37,0,0,True,133210,0.0
12_3995,37,0,0,True,128609,0.0
12_3996,37,0,0,True,130909,0.0
12_3997,37,0,0,True,132638,0.0
12_4000,37,0,0,True,131487,0.0
12_4057,37,0,0,True,130333,0.0
12_4059,37,0,0,True,131487,0.0
12_4096,37,0,0,True,133208,0.0
12_4097,37,0,0,True,133784,0.0
12_4099,37,0,0,True,128606,0.0
12_4100,37,0,0,True,133207,0.0
12_4101,37,0,0,True,130911,0.0
12_4103,37,0,0,True,128032,0.0
12_4105,37,0,0,True,133214,0.0
12_4106,37,0,0,True,129184,0.0
12_4107,37,0,0,True,129760,0.0
12_4108,37,0,0,True,133207,0.0
12_4109,37,0,0,True,131487,0.0
12_4135,37,0,0,True,130334,0.0
12_4136,37,0,0,True,130334,0.0
12_4137,37,0,0,True,130334,0.0
12_4138,37,0,0,True,131487,0.0
12_4154,37,0,0,True,131487,0.0
12_9054,37,0,0,True,133214,0.0
12_A310,37,0,0,True,133214,0.0
12_A320,37,0,0,True,133214,0.0
12_A321,37,0,0,True,133214,0.0
12_A330,37,0,0,True,133214,0.0
12_A350,37,0,0,True,133214,0.0
12_A351,37,0,0,True,133214,0.0
12_A352,37,0,0,True,133214,0.0
12_AA01,37,0,0,True,133784,0.0
