target,transform,winsor_cap,r2_train,r2_val,r2_test,mae_test,rmse_test,smape_test,n_train,n_test,multitask_r2_test,delta_r2_vs_multitask,target_label,multitask_mae_test,multitask_rmse_test,delta_mae_vs_multitask,delta_rmse_vs_multitask,beats_multitask
HPMS16_CRACKING_PERCENT_AC,identity,,0.5328963599181291,0.4762772595652164,0.45438823028137565,8.59148412031286,11.387843029912275,141.97747667115448,10800,170,0.27471308888976875,0.1796751413916069,HPMS cracking (%),10.284557589362649,13.129691659049058,-1.6930734690497893,-1.7418486291367827,True
MEPDG_CRACKING_PERCENT_AC,identity,,0.4412527110543588,0.3050535618806183,0.5424480251970898,5.690203424061046,9.403491667527145,161.26359812377493,10804,170,0.23485927076417745,0.30758875443291234,MEPDG cracking (%),7.1347521206911875,12.160168343113257,-1.4445486966301413,-2.756676675586112,True
MEPDG_TRANS_CRACK_LENGTH_AC,log1p_winsor99,7678.260000000002,-0.05112825327604842,-0.05633589797265892,0.007657852650616248,1001.9263607499354,1971.7383666548367,145.0852592702678,10692,170,-0.3879261435120658,0.39558399616268203,Transverse cracking length,1249.2687589392942,2331.8561014591405,-247.34239818935885,-360.11773480430384,True
PATCH_A,log1p_winsor99,166.5,-0.0045006960148807895,-0.005396815573626146,-0.02866548561339033,0.46710218141841536,1.6464599341730262,180.62068380243642,10812,170,-18.34224240636276,18.31357692074937,Patched area,5.511772361090955,7.139494995756213,-5.04467017967254,-5.493035061583186,True
POTHOLES_A,log1p_winsor99,0.20000000298023224,-0.004280764495331102,0.0,-0.006125435178323757,0.007426764201890739,0.06933764647481418,122.34987687618808,10814,170,-0.054740514303843524,0.04861507912551977,Pothole area,0.01645144324968843,0.07099305190247127,-0.00902467904779769,-0.001655405427657089,True
