edge_type,topology_status,topology_level,edges,mean_distance_km,median_distance_km,mean_detour_ratio,median_detour_ratio
same_route,same_osm_edge,supported,10,0.5911547181240193,0.4647137525629724,0.0,0.0
same_route,short_connected,supported,7,5.6352406012478164,3.4642324655285233,0.6327491608884629,0.8589908888524572
same_route,supported_connected,supported,3,10.642853797042678,6.83784460460272,1.6707522035219233,1.5645538672421422
spatial,long_connected,weakly_connected,5,3.320385448073406,3.3204064257359143,3.453889186634316,3.4243631962731462
spatial,same_osm_edge,supported,246,0.709239547885568,0.6386369152996593,0.0,0.0
spatial,short_connected,supported,179,4.9390363347145785,1.1239678767056187,0.42952238596149345,0.14297346361257274
spatial,supported_connected,supported,18,6.135294641779788,6.460226629363985,1.9723772962398805,1.79383283846248
spatial,unreachable,not_connected,18,41.92643176773796,41.86193048059366,,
