source,target,distance_km,route_key,bbox_diagonal_km,topology_status,real_axis_verdict,local_neighbour_verdict,source_route_no,target_route_no,source_route_signing,target_route_signing,src_snap_m,dst_snap_m,same_osm_edge,osm_path_km,detour_ratio,src_osm_ref,dst_osm_ref,src_osm_name,dst_osm_name,ref_overlap,name_overlap
55_3008,55_5040,48.81937586521814,2_43,69.60735946829637,short_connected,same_real_axis_supported,same_corridor_but_not_local,43,43,2.0,2.0,3.3730652803385315,1.120537140566804,0.0,49.55535151490255,1.0150754825648798,i 43,i 43,,,1.0,0.0
55_3014,55_A901,47.19528092101695,2_43,69.03092618991252,short_connected,same_real_axis_supported,same_corridor_but_not_local,43,43,2.0,2.0,0.4337263338051144,3.727094604140005,0.0,47.992122626717574,1.0168839275908574,i 43,i 43,,rock freeway,1.0,0.0
37_0201,37_1352,46.6402183060519,3_52,66.77761210599883,short_connected,same_real_axis_supported,same_corridor_but_not_local,52,52,3.0,3.0,9.825543200945077,6.1841993854624455,0.0,55.65921534925914,1.1933738170783166,i 285;us 52,us 52,,,1.0,0.0
28_0959,28_3097,45.604632323272455,2_55,66.30537747636548,short_connected,same_real_axis_supported,same_corridor_but_not_local,55,55,2.0,2.0,3.876184611894432,9.082751210238206,0.0,44.968549425361296,0.986052230540919,i 55,i 55;i 69,,,1.0,0.0
12_3995,12_4106,44.77952281352733,2_95,65.8807212848566,short_connected,same_real_axis_supported,same_corridor_but_not_local,95,95,2.0,2.0,10.689131761091758,11.689204140816178,0.0,44.20108500578025,0.9870825374768769,i 95,i 95,,,1.0,0.0
23_1026,23_1028,43.05675878453682,3_2,62.573213470199775,short_connected,same_real_axis_supported,same_corridor_but_not_local,2,2,3.0,3.0,2.0466707094182763,1.8231114159318997,0.0,60.21263303787352,1.3984478799063245,us 2,me 26;me 5;us 2,us route 2 west,mayville road,1.0,0.0
8_3032,8_7783,42.70016341959803,2_70,63.267148792952895,short_connected,same_real_axis_supported,same_corridor_but_not_local,70,70,2.0,2.0,0.1682116416404344,0.9264009124110221,0.0,58.65122907536517,1.3735598269032878,i 70,i 70,,dinosaur diamond prehistoric highway,1.0,0.0
5_4023,5_A430,42.30868146259177,3_67,65.17833989662361,short_connected,same_real_axis_supported,same_corridor_but_not_local,67,67,3.0,3.0,2.704995235893114,19.28320219288408,0.0,48.482124702271975,1.1459143378206813,i 57;us 167;us 64,i 57;us 167,,,1.0,0.0
18_1037,18_5043,41.468438699819345,4_66,62.03136301511739,short_connected,same_real_axis_supported,same_corridor_but_not_local,66,66,4.0,4.0,2.2851341567526586,4.856323068036162,0.0,44.00057827809439,1.061061849871046,sr 66,sr 66,,west diamond avenue,1.0,0.0
4_0122,4_A310,39.17226467612205,3_93,61.900130757121964,short_connected,same_real_axis_supported,same_corridor_but_not_local,93,93,3.0,3.0,0.795957567551906,0.21192456448964203,0.0,34.13188001390777,0.8713277186323437,us 93,us 93,hoover dam–kingman highway,hoover dam–kingman highway,1.0,1.0
8_7036,8_7776,37.153488955515016,2_70,54.310786614322225,short_connected,same_real_axis_supported,same_corridor_but_not_local,70,70,2.0,2.0,6.295437062299064,3.1981780446080847,0.0,44.11853733767222,1.1874668726400546,i 70;i 70;us 36;us 40;us 287,i 70,dwight d. eisenhower highway,dwight d. eisenhower highway,1.0,1.0
41_5022,41_6011,37.09351205773233,2_5,57.173571502857435,unreachable,not_supported,not_local_neighbours,5,5,2.0,2.0,1.3464706549509307,2.288515780444832,0.0,,,i 5,i 5,,,1.0,0.0
40_4086,40_4154,36.1506866596714,3_81,55.95716185543569,short_connected,same_real_axis_supported,same_corridor_but_not_local,81,81,3.0,3.0,11.483043180596122,6.671350953580325,0.0,37.033170408984574,1.0244112582873188,us 81,us 81,,,1.0,0.0
41_5005,41_6011,35.82039624112238,2_5,55.11376523363836,short_connected,same_real_axis_supported,same_corridor_but_not_local,5,5,2.0,2.0,3.001757556765572,2.288515780444832,0.0,19.451816842108453,0.54303745584415,i 5,i 5,,,1.0,0.0
28_3081,28_5006,35.62134722165591,3_78,56.15005892406163,short_connected,same_real_axis_supported,same_corridor_but_not_local,78,78,3.0,3.0,9.314253778490553,0.6350068448208295,0.0,32.61397083245455,0.9155737605743044,i 22;us 78,i 22;us 78,,,1.0,0.0
48_3010,48_4152,34.2885296839681,4_146,57.13794480821827,short_connected,connected_but_far,same_corridor_but_not_local,146,146,4.0,4.0,7.728281265657668,21.779775455776498,0.0,41.31190698153007,1.2048316845981826,,tx 146,crystal boulevard,,0.0,0.0
55_3015,55_3016,33.30774680944062,3_51,53.29118522138522,short_connected,same_real_axis_supported,same_corridor_but_not_local,51,51,3.0,3.0,3.504948876525102,5.954265762865627,0.0,29.502900916148,0.8857669383924165,i 39;us 51;wi 23,i 39;us 51,interstate 39,,1.0,0.0
5_A608,5_B410,32.21097345016156,3_65,55.281666552401134,short_connected,connected_but_far,same_corridor_but_not_local,65,65,3.0,3.0,6.44135084647309,3.6189969078274866,0.0,29.776006116786498,0.9244056583032932,i 530;us 65,us 65b,,martha mitchell expressway,0.0,0.0
20_3060,29_4036,32.048196089230785,2_435,53.95555796985584,short_connected,same_real_axis_supported,same_corridor_but_not_local,435,435,2.0,2.0,5.357737902087493,2.083763136303875,0.0,41.04613390137097,1.28076269213679,i 435,i 435,,,1.0,0.0
40_1017,40_4157,31.17968368692523,3_69,51.914023863594814,short_connected,same_real_axis_supported,same_corridor_but_not_local,69,69,3.0,3.0,5.766801995082645,6.80967557878977,0.0,31.74902499244012,1.0182600090248395,us 69,us 69,north 32nd street,,1.0,0.0
27_1003,27_4055,30.99475319100171,2_94,51.632965056321865,short_connected,same_real_axis_supported,same_corridor_but_not_local,94,94,2.0,2.0,4.199727292680519,6.497282446686171,0.0,39.189191283460794,1.264381459725192,i 94,i 94,mnroad mainline,,1.0,0.0
6_7491,6_8149,30.29335587975694,2_40,51.172270944287575,short_connected,same_real_axis_supported,same_corridor_but_not_local,40,40,2.0,2.0,2.3165263246813868,1.4314617053458079,0.0,39.71527807342352,1.3110227282531821,i 40,i 40,needles freeway,needles freeway,1.0,1.0
