real_axis_verdict,local_neighbour_verdict,edges,mean_distance_km,median_distance_km
connected_but_far,same_corridor_but_not_local,5,59.151515099901395,73.84211364327602
needs_manual_map_check,unknown,1,99.10133916934186,99.10133916934186
not_supported,not_local_neighbours,5,70.84379727903209,87.14822770739572
same_real_axis_supported,same_corridor_but_not_local,49,56.87842142870952,52.98762874299633
