source,target,distance_km,suspicious_locality,needs_real_map_check,source_route_key,target_route_key,source_ROUTE_NO,target_ROUTE_NO,source_ROUTE_SIGNING,target_ROUTE_SIGNING,same_route_number,same_route_signing,source_latitude,source_longitude,target_latitude,target_longitude,source_functional_class,target_functional_class
49_C453,49_C454,0.1324073519078985,very_local,False,2_15,2_15,15,15,2,2,True,True,41.86341857910156,-112.16985,41.86222839355469,-112.1699,1,1
49_C447,49_C448,0.1279614126720318,very_local,False,2_15,2_15,15,15,2,2,True,True,41.8763313293457,-112.16977,41.8774299621582,-112.17023,1,1
49_C445,49_C446,0.1234793418751764,very_local,False,2_15,2_15,15,15,2,2,True,True,41.87413024902344,-112.16968,41.875240325927734,-112.16972,1,1
49_D452,49_D454,0.1225865699778651,very_local,False,4_154,4_154,154,154,4,4,True,True,40.68711853027344,-111.98145,40.6882209777832,-111.98145,14,14
49_D443,49_D444,0.1225865699778651,very_local,False,4_154,4_154,154,154,4,4,True,True,40.692630767822266,-111.98177,40.6915283203125,-111.98177,14,14
49_C448,49_C449,0.1222072764038028,very_local,False,2_15,2_15,15,15,2,2,True,True,41.8774299621582,-112.17023,41.8763313293457,-112.17019,1,1
49_C446,49_C447,0.1213846574725075,very_local,False,2_15,2_15,15,15,2,2,True,True,41.875240325927734,-112.16972,41.8763313293457,-112.16977,1,1
49_D459,49_D460,0.121314045029998,very_local,False,4_154,4_154,154,154,4,4,True,True,40.68383026123047,-111.98145,40.6827392578125,-111.98145,14,14
49_C454,49_C455,0.1211731864767221,very_local,False,2_15,2_15,15,15,2,2,True,True,41.86222839355469,-112.1699,41.861141204833984,-112.17,1,1
4_A447,4_A448,0.1197779325876825,very_local,False,4_360,4_360,360,360,4,4,True,True,33.385929107666016,-111.80691,33.38594055175781,-111.80562,14,14
49_C444,49_C445,0.1192650431852871,very_local,False,2_15,2_15,15,15,2,2,True,True,41.8730583190918,-112.16963,41.87413024902344,-112.16968,1,1
4_A451,4_A452,0.1179143717245622,very_local,False,4_360,4_360,360,360,4,4,True,True,33.38584899902344,-111.83922,33.38584899902344,-111.83795,14,14
49_C440,49_C441,0.1170706765551175,very_local,False,2_15,2_15,15,15,2,2,True,True,41.86001968383789,-112.16973,41.86106872558594,-112.16961,1,1
4_A452,4_A453,0.1151289928666951,very_local,False,4_360,4_360,360,360,4,4,True,True,33.38584899902344,-111.83795,33.38584899902344,-111.83671,14,14
4_A459,4_A460,0.1151289625561461,very_local,False,4_360,4_360,360,360,4,4,True,True,33.38587188720703,-111.82933,33.38587188720703,-111.82809,14,14
4_A444,4_A445,0.1151288968860855,very_local,False,4_360,4_360,360,360,4,4,True,True,33.385921478271484,-111.81061,33.385921478271484,-111.80937,14,14
4_A454,4_A455,0.1142076153188834,very_local,False,4_360,4_360,360,360,4,4,True,True,33.38584899902344,-111.83548,33.385860443115234,-111.83425,14,14
4_A458,4_A459,0.1142076002874164,very_local,False,4_360,4_360,360,360,4,4,True,True,33.385860443115234,-111.83056,33.38587188720703,-111.82933,14,14
4_A445,4_A446,0.1142035840155933,very_local,False,4_360,4_360,360,360,4,4,True,True,33.385921478271484,-111.80937,33.385929107666016,-111.80814,14,14
4_A453,4_A454,0.1142005332452066,very_local,False,4_360,4_360,360,360,4,4,True,True,33.38584899902344,-111.83671,33.38584899902344,-111.83548,14,14
4_A456,4_A457,0.1142005182141281,very_local,False,4_360,4_360,360,360,4,4,True,True,33.385860443115234,-111.83302,33.385860443115234,-111.83179,14,14
