row_type,feature,importance,in_sample_accuracy,n_rows,n_classes
feature_importance,aadtt_all_trucks_trend,0.1322555895720906,0.8640671540752776,3693,7
feature_importance,annual_truck_volume_trend,0.11461464781311198,0.8640671540752776,3693,7
feature_importance,annual_esal_trend,0.11287974056507906,0.8640671540752776,3693,7
feature_importance,annual_gesal_trend,0.11248792049836749,0.8640671540752776,3693,7
feature_importance,solar_shortwave_surface_avg,0.09719484640324874,0.8640671540752776,3693,7
feature_importance,precip_precipitation,0.09050547824811352,0.8640671540752776,3693,7
feature_importance,temp_year_freeze_index,0.09027088479509605,0.8640671540752776,3693,7
feature_importance,humid_rel_hum_avg_avg,0.08035108024325635,0.8640671540752776,3693,7
feature_importance,temp_year_temp_avg,0.06471947265083787,0.8640671540752776,3693,7
feature_importance,pre_cracking,0.05333720373361614,0.8640671540752776,3693,7
feature_importance,wind_wind_velocity_avg,0.024546463140453934,0.8640671540752776,3693,7
feature_importance,functional_class,0.01771444815627617,0.8640671540752776,3693,7
feature_importance,NO_OF_LANES,0.009122224180452151,0.8640671540752776,3693,7
