treatment_group,n_events,mean_delta,median_delta,mean_rel_delta,median_rel_delta,t_stat_vs_zero,p_value_vs_zero
asphalt_overlay,878,22873.16776449,6632.0,0.14018672743749677,0.04405949040826396,6.520330784938184,1.1830704093131304e-10
crack_sealing,952,8901.248538582098,6510.0,1.093291446246415,0.05217027411701747,2.45885976677588,0.014115124287267028
grinding,87,19391.480021893814,17242.0,0.34600542630408676,0.049160707339696595,2.7303218220869003,0.007674302983705949
patching,1033,6939.490347500731,4529.333333333343,0.09346060132961859,0.03935998480676099,1.4069878973059564,0.15973205801686038
reconstruction_or_major_rehab,37,22663.077413127416,23271.0,0.03286831496178789,0.004119063252352855,1.9914377244664034,0.05406222123885832
seal_coat,336,4866.777777777778,2434.8333333333358,0.10644327989486094,0.0456302372916005,1.496171571469656,0.13555043439398515
shoulder_restoration,85,17845.5746379764,10179.0,0.12327255700192882,0.03816352688786213,1.9731184884094701,0.051770455166279455
unknown,1219,6304.030762920428,3418.0,0.20658282129395134,0.037392118443333726,2.7570576444441333,0.005919529773234263
ALL,4627,10608.91306217256,4756.0,0.34490662059634103,0.04102862966290546,6.4694092979507385,1.0857736365767874e-10
