state_held_out,n_test_nodes,n_test_transitions,rf_test_r2,rgcn_test_r2,ensemble_test_r2,rf_test_mae,ensemble_test_mae
48,172,1254,-0.040407089111529126,-0.12094978915060306,-0.18514338894550075,7.876224643477935,8.959196038337078
4,104,681,0.36033332029241516,0.046595190610892345,0.19280459542031114,8.868336683483848,10.620396491150913
12,75,572,0.14042046427393662,-0.07723409216294175,0.058005641101256056,10.90977784653355,9.637332774785937
6,69,564,0.23262626173328882,-0.025984289494116464,0.27959681953148385,11.19099488776276,10.913638836749795
40,59,495,0.1742251764078243,0.1719833325190353,0.24987690205237034,6.369122210903199,5.993940124815877
