edge_type,tested_edges,edges_with_change_corr,median_change_corr,mean_change_corr,edges_with_level_corr,median_level_corr,mean_level_corr,median_distance_km
same_functional_class,3722,2462,0.5218679424088185,0.3903940185492581,2638,0.8152919530829847,0.6500452112082198,0.7567666075848816
same_route,1103,745,0.5191034537372949,0.3861701810925065,797,0.8135818374793702,0.6409379235984142,0.6356575672019517
spatial,5780,3256,0.4863848111145658,0.36399644708079615,3542,0.8033250657810427,0.6269471336285473,1.1529369471247188
