source,target,distance_km,distance_bin,bbox_diagonal_km,src_snap_m,dst_snap_m,same_osm_edge,path_exists,osm_path_km,detour_ratio,topology_status,route_change_count_ref,route_change_count_name,unique_ref_count,unique_name_count,dominant_ref,dominant_name,src_ref,dst_ref,src_name,dst_name,endpoint_ref_overlap,endpoint_name_overlap,path_step_count,audit_verdict
32_0108,32_0109,0.2144170139569092,0-1 km,22.54069332867567,1.7696146381211137,2.738437126447785,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,1.0,1.0,i 80,dwight d. eisenhower highway,i 80,i 80,dwight d. eisenhower highway,dwight d. eisenhower highway,1.0,1.0,0.0,very_strong_local_neighbour
29_1005,29_A310,0.2399995532994272,0-1 km,22.800362838945528,5.897020377291359,4.231490932244988,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,1.0,0.0,us 54,,us 54,us 54,,,1.0,0.0,0.0,very_strong_local_neighbour
39_0109,39_0263,0.2465074283753659,0-1 km,22.56874701845714,0.02453235057582825,2.3485305507420207,0.0,1,1.1204963953815665,4.545487341969044,long_connected,0.0,0.0,1.0,0.0,us 23,,us 23,us 23,,,1.0,0.0,2.0,ambiguous_but_close
51_1023,51_A340,0.2490302851769138,0-1 km,22.964618138620494,5.371777616142729,0.13492041848767614,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,1.0,0.0,i 95,,i 95,i 95,,,1.0,0.0,0.0,very_strong_local_neighbour
47_1023,47_C330,0.2616265988987016,0-1 km,23.122575783854852,4.800298418409794,1.2071487934754457,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,1.0,0.0,i 75,,i 75,i 75,,,1.0,0.0,0.0,very_strong_local_neighbour
5_0803,5_0810,0.2625501634153438,0-1 km,23.27568418503701,0.5270582752221509,2.835002315583523,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,0.0,1.0,,right frontage road,,,right frontage road,right frontage road,0.0,1.0,0.0,very_strong_local_neighbour
26_0603,26_0604,0.2633884599625948,0-1 km,22.12676643616475,0.4580009492026945,0.050754175255858715,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,1.0,0.0,us 10,,us 10,us 10,,,1.0,0.0,0.0,very_strong_local_neighbour
37_0211,37_0212,0.2816678020917973,0-1 km,23.182417866433184,1.9922456858667907,1.674621276963978,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,2.0,0.0,i 285,,i 285;us 52,i 285;us 52,,,1.0,0.0,0.0,very_strong_local_neighbour
48_J310,48_J320,0.3026841515483308,0-1 km,23.9134642203242,2.5548011294683164,1.2936151690144773,0.0,1,0.03904866206273633,0.12900795057484624,short_connected,0.0,0.0,1.0,1.0,us 181,us highway 181 north,us 181,us 181,us highway 181 north,us highway 181 north,1.0,1.0,1.0,strong_local_neighbour
49_E448,49_E456,0.3091319727399568,0-1 km,22.59409343133447,1.2777450453871197,5.319491979389299,0.0,1,1.5048466997204184,4.867974950576537,long_connected,0.0,0.0,1.0,1.0,sr 248,kearns boulevard,us 189;us 40,us 189;us 40,,,1.0,0.0,3.0,ambiguous_but_close
