edge_type,edges,osm_connected_share,osm_supported_share,same_osm_edge_share,mean_src_snap_m,mean_dst_snap_m,median_src_snap_m,median_dst_snap_m,mean_detour_ratio,median_detour_ratio
same_route,20,1.0,1.0,0.5,2.8085325831408783,2.601067844332911,1.85062729696087,2.2568267816527454,0.47207503683925056,0.0
spatial,466,0.9613733905579399,0.9506437768240343,0.5278969957081545,3.556535226394628,3.2590619822947033,3.614243126832367,3.1756249407663937,0.2894123757870463,0.0
