graph_variant,relations,train_r2,val_r2,test_r2,test_rmse,test_mae
spatial,spatial,0.301880419254303,0.3663085103034973,0.33748382329940796,12.54867354598373,9.644585609436035
spatial_route,"spatial,same_route",0.3781142234802246,0.4291015863418579,0.36064958572387695,12.327330975894895,9.26456356048584
full_refined,"spatial,same_route,same_functional_class",0.3994656801223755,0.4322279095649719,0.37079548835754395,12.229128125382907,9.210386276245117
