distance_bin,edges,median_change_corr,mean_change_corr
0-5km,2960,0.5086160207514934,0.38730875197737136
5-20km,99,0.04061105556341415,0.10412662592499745
20-50km,112,0.24927395320023998,0.16571195094757613
50km+,85,0.09691436075713832,0.11612060434528959
