component_rank,edge_type,edges,osm_connected_share,osm_supported_share,same_osm_edge_share,mean_distance_km,median_distance_km,mean_detour_ratio,median_detour_ratio
11,same_route,4,1.0,1.0,1.0,0.6043630689465416,0.6027884296380175,0.0,0.0
11,spatial,168,1.0,1.0,0.44047619047619047,0.7090682591730412,0.685904039888023,0.1384506610134698,0.0
14,same_route,11,1.0,1.0,0.09090909090909091,6.635205935411383,5.6133150221302115,0.8583182487986374,0.865101916188328
14,spatial,175,1.0,0.9714285714285714,0.5542857142857143,5.576904593513472,1.494866538796721,0.5966820019956288,0.0
24,same_route,5,1.0,1.0,1.0,0.3764150431583131,0.3093013417026831,0.0,0.0
24,spatial,123,0.8536585365853658,0.8536585365853658,0.6097560975609756,6.871476942272498,0.9166506343904672,0.01883507574379776,0.0
