variant,treatment_mode,rf_test_rmse,rf_test_mae,rf_test_r2,ridge_test_r2,gcn_without_project_treatment_test_rmse,gcn_without_project_treatment_test_mae,gcn_without_project_treatment_test_r2,gcn_with_project_treatment_test_rmse,gcn_with_project_treatment_test_mae,gcn_with_project_treatment_test_r2,gcn_project_treatment_r2_gain,train_transitions,val_transitions,test_transitions
No project/treatment features,none,12.525351490188186,8.953674665611489,0.3399442331472118,0.053185594978512496,14.93942899498803,10.995811462402344,0.0609930157661438,14.775532493742242,10.573596000671387,0.08148318529129028,0.020490169525146484,10800,236,170
Old PROJECT_HIST_AGE_EXP proxy,old_proxy,11.61776752006471,9.013968631207929,0.4321336308594925,0.0801925323854169,14.829676202286024,10.703446388244629,0.07473915815353394,14.98489382166853,11.826972961425781,0.05526900291442871,-0.019470155239105225,10800,236,170
EXPERIMENT_SECTION treatment features,experiment,11.511320446739052,8.95773956860401,0.4424920389999567,0.24041392710082354,14.851695550265411,10.628861427307129,0.07198941707611084,13.436945846131664,10.439033508300781,0.24037021398544312,0.16838079690933228,10800,236,170
