broad_treatment_group,count,breakdown,treatment_label,event_year,state_name,functional_class
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Hot-Mix Recycled Asphalt Concrete Overlay, Mill Off AC and Overlay with AC",,,
asphalt_overlay,3,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Longitudinal Subdrains",,,
asphalt_overlay,13,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Longitudinal Subdrains, Fracture Treatment of PCC Pavement as Base for New AC Surface",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Longitudinal Subdrains, Fracture Treatment of PCC Pavement as Base for New AC Surface, PCC Slab Replacement",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Longitudinal Subdrains, Full Depth Transverse Joint Repair Patch, Full Depth Patching of PCC Pavement Other Than at Joint, Partial Depth Patching of PCC Pavement Other Than at Joint, PCC Slab Replacement",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Longitudinal Subdrains, Full Depth Transverse Joint Repair Patch, Joint Load Transfer Restoration in PCC Pavements, Partial Depth Patching of PCC Pavement Other Than at Joint",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Longitudinal Subdrains, Full Depth Transverse Joint Repair Patch, Joint Load Transfer Restoration in PCC Pavements, Partial depth patching of PCC pavements at joints",,,
asphalt_overlay,4,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Machine Premix Patch (placing premix with paver roller)",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Manual Premix Spot Patch (hand spreading and compacting with roller), Tack Coat",,,
asphalt_overlay,3,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",,,
asphalt_overlay,4,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Mill Off AC and Overlay with AC",,,
asphalt_overlay,22,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Partial depth patching of PCC pavements at joints",,,
asphalt_overlay,2,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Tack Coat",,,
asphalt_overlay,2,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Fog Seal Coat, Hot-Mix Recycled Asphalt Concrete Overlay, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing), Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing), Mill Off AC and Overlay with AC",,,
asphalt_overlay,3,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Grinding Surface, Portland Cement Concrete Overlay",,,
asphalt_overlay,36,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Hot-Mix Recycled Asphalt Concrete Overlay",,,
